"id","name","geom","nametr"
5,"Naxçıvan","0101000020E61000002486787F17B4464033FD12F1D69B4340","Nahçıvan"
6,"Şəmkir","0101000020E6100000E05FA9D326034740A90E5E60FB6A4440","Şemkir"
7,"Gəncə","0101000020E610000000659D3B0B2E4740510658F503574440","Gence"
8,"Tovuz","0101000020E6100000DFE75322E4CE46406FBDA607057F4440","Tovuz"
9,"Mingəçevir","0101000020E6100000C7D5C8AEB48647407B42C06BE1614440","Mingeçevir"
10,"Şəki","0101000020E6100000D399C5D5129747407F64DFBA079A4440","Şeki"
11,"Yevlax","0101000020E610000031FD5C7EF192474083893F8A3A4E4440","Yevlah"
12,"Bərdə","0101000020E61000004E524FD5F38F4740CD9EBAA8CC304440","Berde"
13,"Sabirabad","0101000020E6100000D8463CD9CD3C4840FD15325706014440","Sabirabad"
14,"Neftçala","0101000020E61000004147AB5AD29F4840DAB8B4D084B04340","Neftçala"
15,"Biləsuvar","0101000020E6100000B2E375B3F5454840B024D46762BA4340","Bilesuvar"
16,"Cəlilabad","0101000020E610000034057CC8A54048401566EB2AEE9A4340","Celilabad"
17,"Yardımlı","0101000020E6100000FED9EACD031F48401CA66C4727744340","Yardımlı"
18,"Lənkəran","0101000020E61000003E0F49884D6D4840333DBC427A604340","Lenkeran"
19,"İmişli","0101000020E6100000EBB996DA9C0748400F73936291EF4340","İmişli"
20,"Sumqayıt","0101000020E6100000C69B46A4B7D54840C05DF6EB4E4C4440","Sumgayıt"
21,"Şabran","0101000020E6100000AC9EDD6B527F484060234910AE9A4440","Şabran"
22,"Xırdalan","0101000020E6100000BD851A2A6BDF4840B2005C7F013A4440","Hırdalan"
23,"Bakı","0101000020E610000029CA4A3899EA48407920B24813304440","Bakı"
24,"Xaçmaz","0101000020E6100000EEAE58688C664840F4D6659D96BB4440","Haçmaz"
25,"Xankəndi","0101000020E6100000072C144438604740BEB8F9EBBAE84340","Hankendi"
