"id","name","geom","nametr"
1,"Şorsulu","0101000020E6100000E7035D56BC6B48408DB3E908E0B64340","Şorsulu"
2,"Bucaq","0101000020E61000000DB78D507DAF4740F7EF5586CC894440","Bucag"
3,"Cəfərabad","0101000020E61000002D488ECFBF9447403C122F4FE7824440","Ceferabad"
4,"Kəpənəkçi","0101000020E6100000990E9D9E774547400047F1E0DDBA4440","Kepenekçi"
5,"Qaymaqlı","0101000020E61000009BED653623914640A27A10A7389D4440","Gaymaglı"
6,"Almalıq","0101000020E61000005F0D501A6A1E4740B59B2A29C10C4440","Almalıg"
7,"Vəng","0101000020E6100000F843222356244740F6DB8DF458144440","Veng"
8,"Mehmana","0101000020E610000061CCF165FD5547403646A11B50134440","Mehmana"
9,"Çopurlu","0101000020E6100000A4213E0B9D3C4740EF7ECB52A1134440","Çopurlu"
10,"Zəylik","0101000020E61000007A83D492334A47408BD4C5B7C1154440","Zeylik"
11,"Narınclar","0101000020E6100000AF9C18ED4C344740DF5D1DB6E3044440","Narınclar"
12,"Şahmansurlu","0101000020E6100000888F3E9C76484740D55C6E30D4074440","Şahmansurlu"
13,"Sırxavənd","0101000020E61000009622F94A2059474028E494CA25074440","Sırhavend"
14,"Hayad","0101000020E6100000B0F72C191152474001DAFBF95B064440","Hayad"
15,"Zağalar","0101000020E6100000417A2F63AF2D474020329BB635024440","Zağalar"
16,"Aranzəmin","0101000020E61000004C1531917772474082638511B1F24340","Aranzemin"
17,"Daşkənd","0101000020E61000006779C3222B644740F3959B035FE64340","Daşkend"
18,"Dəhrəz","0101000020E6100000DDFD3BECCF6F4740CE13742090EF4340","Dehrez"
19,"Onverst","0101000020E610000053E34AE2514D474028DF22E648D64340","Onverst"
20,"Köhnəkənd","0101000020E6100000A9D26064135A47406C6CC03115D14340","Köhnekend"
21,"Göytala","0101000020E6100000F11DEB98A94E47401A619B9EC1D64340","Göytala"
22,"Şıx Dursun","0101000020E6100000C500892650784740D344E91C4DDA4340","Şıh Dursun"
23,"Xərxan","0101000020E6100000EB67FBA1E3784740E889422674DC4340","Herhan"
24,"Qarazəmi","0101000020E610000017A87B53477F4740974BF443B6DD4340","Garazemi"
25,"Yenikənd","0101000020E61000008615B886637D4740103E9468C9EC4340","Yenikend"
26,"Gavahın","0101000020E610000058FC4BF7DF7447409816F549EEE14340","Gavahın"
27,"Quzumkənd","0101000020E610000018B325AB227F4740535C55F65DDF4340","Guzumkend"
28,"Qağartsi","0101000020E61000007B336ABE4A784740379E190E95E84340","Gağartsi"
29,"Abdal","0101000020E610000089319F628B774740F13B97F3D6EF4340","Abdal"
30,"Mirikənd","0101000020E6100000B8EDD68DD2754740ED4ED257EBEB4340","Mirikend"
31,"Qarıtəpə","0101000020E6100000E47E2CE9CD784740CF21BAB1EAE74340","Garıtepe"
32,"Quzeyçartar","0101000020E6100000CA8404317581474061D6D52EB7DF4340","Guzeyçartar"
33,"Əmiranlar","0101000020E610000079DAD083719147409EB0694A57E64340","Emiranlar"
34,"Arpagədik","0101000020E61000002ABD80A8455A47408644903985C74340","Arpagedik"
35,"Günəşli","0101000020E6100000A70293C08B8A4740C2E8A85956BF4340","Güneşli"
36,"Cilən","0101000020E610000015B078454B7D4740DEF5E34059B84340","Cilen"
37,"Sor","0101000020E6100000CE9C3FB7E182474012D1F93ABABE4340","Sor"
38,"Xırmancıq","0101000020E61000004F626B11AC8B4740543C8963B8C54340","Hırmancıg"
39,"Axullu","0101000020E61000002195BD00568B474048B4D3C55CC84340","Ahullu"
40,"Hoçaz","0101000020E6100000E0A2EE5E493A47402E933C32B1D64340","Hoçaz"
41,"Bozlu","0101000020E61000000729780AB92A4740FF9DA34401D94340","Bozlu"
42,"Vəlibəyli","0101000020E6100000AEB6627FD925474018C110830AE94340","Velibeyli"
43,"Təzəkənd","0101000020E6100000E04BE141B33F47402BD8EB8266E14340","Tezekend"
