"id","name","geom","nametr"
1,"Culfa","0101000020E610000031FCF1A842D046406D7B71981E7A4340","Culfa"
2,"Qazax","0101000020E6100000C8940F41D5AD4640348FB234A68B4440","Gazah"
3,"Şuşa","0101000020E61000008DF1BCAF25604740F8794265B2E14340","Şuşa"
4,"Şamaxı","0101000020E610000046031D52B1514840CB5D955522514440","Şamahı"
5,"Şirvan","0101000020E6100000AEB4311B0979484070A24C593CFA4340","Şirvan"
6,"Ağsu","0101000020E6100000F6189B0C7D3248402C5382B4B5484440","Ağsu"
7,"Qobustan","0101000020E61000002D62331BBFB44840E3CDD02E950A4440","Gobustan"
8,"Qobustan Mərəzə","0101000020E610000017748C75BB7648408D4DE1F725444440","Gobustan Mereze"
9,"Ucar","0101000020E61000007DE2A5400BD34740585B0C795F424440","Ucar"
10,"Kürdəmir","0101000020E61000006F84A0FE0E134840E83A43273A2C4440","Kürdemir"
11,"Göyçay","0101000020E6100000B78EBB52E0DE4740259529E620534440","Göyçay"
12,"Hacıqabul","0101000020E6100000A6530DB1B0774840082C6FFDAA034440","Hacıgabul"
13,"Gədəbəy","0101000020E610000042B115342DE846402312859675494440","Gedebey"
14,"Göygöl","0101000020E610000021B07268912847409C30067BB84A4440","Göygöl"
15,"Ağcabədi","0101000020E6100000CE6042BBF9BA47402881CD3978064440","Ağcabedi"
16,"Zərdab","0101000020E6100000613832EAB5DA47403221414C1D1C4440","Zerdab"
17,"Saatlı","0101000020E6100000AE56DC6E382F48409F19694E03F84340","Saatlı"
18,"Səlyan","0101000020E6100000A36A0597D87D4840EEF19DF3AECC4340","Selyan"
19,"Masallı","0101000020E6100000326B73AD07564840BA884A7E1F844340","Masallı"
20,"Lerik","0101000020E610000056D4601A863548406422A5D93C634340","Lerik"
21,"Zəngilan","0101000020E61000000F812381065447406466553A0E8B4340","Zengilan"
22,"Cəbrayıl","0101000020E61000005CD4DD2BA983474054F19073ACB24340","Cebrayıl"
23,"Füzuli","0101000020E6100000FE91335E04934740C6B9F2FEE4CC4340","Füzuli"
24,"Xocavənd","0101000020E6100000E561A1D6348E4740ACAC6D8AC7E54340","Hocavend"
25,"Beyləqan","0101000020E6100000130EBDC5C3CE47405871AAB530E24340","Beylegan"
26,"Ağdaş","0101000020E6100000343800D182BC474020C951256F524440","Ağdaş"
27,"Tərtər","0101000020E61000006083CF204F774740D7F09991E62B4440","Terter"
28,"Ağdərə","0101000020E6100000840EBA84436947402D49545EE11A4440","Ağdere"
29,"Laçın","0101000020E610000080E72851404647405B7C0A80F1D14340","Laçın"
30,"Yaycı","0101000020E6100000BD225399BDDD46405B5AB2CF08794340","Yaycı"
31,"Zaqatala","0101000020E6100000F980E5AD5F524740D5C67D50BCD04440","Zagatala"
32,"Quba","0101000020E61000000BEC3191D2414840A001502047AE4440","Guba"
33,"Qəbələ","0101000020E61000002C222F10A9EC4740430BBF8A427D4440","Gebele"
34,"Qusar","0101000020E61000006E2F0ED363374840015AA95615B74440","Gusar"
35,"Lökbatan","0101000020E6100000E2BE1FC88BDD4840542A977CA2294440","Lökbatan"
36,"Ələt","0101000020E61000001DA622BA0CB44840A863DF5F4EF94340","Elet"
37,"İsmayıllı","0101000020E6100000046910300413484052B5DD04DF644440","İsmayıllı"
38,"Binəqədi","0101000020E6100000FCAA5CA8FCE94840970744E3E43B4440","Binegedi"
39,"Qovlar","0101000020E6100000127DE31016DE46401AB2704859794440","Govlar"
40,"Ağdam","0101000020E6100000AC0892D2C7764740B5C93C4DC1FE4340","Ağdam"
41,"Mərdəkan","0101000020E61000009458086124134940EE9815E52D3F4440","Merdekan"
42,"Xızı","0101000020E6100000A915A6EF3589484033D9E49590744440","Hızı"
43,"Qubadlı","0101000020E6100000956BC0D65B4A47400282397AFCAB4340","Gubadlı"
44,"Oğuz","0101000020E6100000F1619BF97ABB474043BAE9E0AA884440","Oğuz"
45,"Siyəzən","0101000020E610000054122395738E4840ECDCB419A7894440","Siyezen"
46,"Pirallahı","0101000020E6100000B62B9908C02A494095FA0D6EC63A4440","Pirallahı"
47,"Naftalan","0101000020E6100000F05D94EA4C69474028DEB7109A404440","Naftalan"
48,"Sahil","0101000020E61000003D7FDAA84ECA484033DC80CF0F1D4440","Sahil"
49,"Qıvraq","0101000020E61000004EAC9D72968F46400913EBF93FB34340","Gıvrag"
50,"Şahbuz","0101000020E61000002EB8D562A6C8464036AD1402B9B34340","Şahbuz"
51,"Şərur","0101000020E610000041FB4795177E46403FD873E327C74340","Şerur"
52,"Xudat","0101000020E6100000785CF9D115574840CFE5BCB502D14440","Hudat"
53,"Xocalı","0101000020E61000006060B1E144654740AA059BDFD5F44340","Hocalı"
54,"Babək","0101000020E6100000D1F8CFE4ACB846408E8DE5023C944340","Babek"
55,"Samux","0101000020E6100000EDD45C6E3034474079DED7929F614440","Samuh"
56,"Horadiz","0101000020E6100000811F7AF76CAA47401788F94DBCB94340","Horadiz"
57,"Bankə","0101000020E61000009B6D1393DC9F484078AA8DFBA0B44340","Banke"
58,"Nehrəm","0101000020E61000000D2950D54EBB4640290417D0B08E4340","Nehrem"
59,"Göytəpə","0101000020E61000006659E6632D4C4840F3A6C75B538F4340","Göytepe"
60,"Liman","0101000020E6100000CB8FAE88506748409D746C4E6F704340","Liman"
61,"Kəlbəcər","0101000020E61000009B1430CBE804474034BDC458A60D4440","Kelbecer"
62,"Ağstafa","0101000020E61000004490DECBD8B746404D0A3DAC818E4440","Ağstafa"
63,"Daşkəsən","0101000020E6100000C23C1A3D6D0A4740562B137EA9424440","Daşkesen"
64,"Astara","0101000020E610000071E07AB9F46F4840F05EFFBFFB394340","Astara"
65,"Goranboy","0101000020E61000001415BBC7E3644740E54E9FD3E24D4440","Goranboy"
66,NULL,"0101000020E6100000072C144438604740BEB8F9EBBAE84340",NULL
67,"Ordubad","0101000020E61000008BCC1253D8024740D7868A71FE734340","Ordubad"
68,"Dəmirçi","0101000020E61000002F206A91A3774640E99216D3F1CE4340","Demirçi"
69,"Balakən","0101000020E61000006E122807583447404ABD5DE5BFDC4440","Balaken"
70,"Qax","0101000020E61000003FD5D7A9A87547408B18761893B54440","Gah"
