"id","name","geom","nametr"
1,"Allar","0101000020E61000003CC7365FDB434840A079EF5EA4A84340","Allar"
2,"Boradigah","0101000020E6100000397D3D5FB35A4840549742D609774340","Boradigah"
3,"Yuxarı Daşkəsən","0101000020E6100000D8A5FC5A4D0947405EF75624263F4440","Yuharı Daşkesen"
4,"Əsgəran","0101000020E610000036B11B11E76A47401576ACAD33F84340","Esgeran"
5,"Mincivan","0101000020E610000032D6EDA29E5B474009D68228A9834340","Mincivan"
6,"Daşburun","0101000020E61000001C785A2327DB474075D9F9C8F7CF4340","Daşburun"
7,"Dəstə","0101000020E6100000227D491927F44640E973FFA215714340","Deste"
8,"Səngəçal","0101000020E61000006E7F78A74CBB4840BEE1992BDE154440","Sengeçal"
9,"Qobu","0101000020E61000000206932C71DB4840172AFF5A5E334440","Gobu"
10,"Hacıqəhrəmanlı","0101000020E61000000C4CB8A1737648402D019DEEE1F04340","Hacıgehremanlı"
11,"Muğanlı","0101000020E6100000B515A0127C3E47400F62670A9DBC4440","Muğanlı"
12,"Dağlı","0101000020E61000003AB24D85D34347404890A56A16C34440","Dağlı"
13,"Faldarlı","0101000020E6100000AAF413CE6E424740AF777FBC57BC4440","Faldarlı"
14,"Qandax","0101000020E6100000EACF7EA488454740E28629DBD1BC4440","Gandah"
15,"Yengiyan","0101000020E6100000D8BD70427C494740A199CC1DA2BB4440","Yengiyan"
16,"Mosul","0101000020E6100000B2632310AF49474002BE3676E4B84440","Mosul"
17,"Sədərək","0101000020E6100000BE99E2BBDE70464040852348A5DB4340","Sederek"
18,"Dağ Kəsəmən","0101000020E6100000A6530DB1B0B24640FA47DFA4698C4440","Dağ Kesemen"
19,"Vurğun","0101000020E61000002E0E1DF11ABD4640E67EE25BB38B4440","Vurğun"
20,"Ceferli","0101000020E610000003B68311FB9E4640FD3ED29629844440","Ceferli"
21,"Bala Ceferli","0101000020E61000008FA50F5D50A04640F1A20ADA3F824440","Bala Ceferli"
22,"Eynallı","0101000020E610000063B1F270A7BF46407AAFB55263884440","Eynallı"
23,"Köçəsgər","0101000020E61000005BB9725188C24640A17197B32D874440","Köçesger"
24,"Həsənsu","0101000020E6100000FEC00B1126BF4640BA707BDD7D8A4440","Hesensu"
25,"Qırlı","0101000020E61000004B411251A7C146400E8E48CACC8B4440","Gırlı"
26,"Düz Qırıqlı","0101000020E610000097D8C6E935E646404A157B1E92784440","Düz Gırıglı"
27,"Alakol","0101000020E6100000E2EF726C98E246405A982ABDDB734440","Alakol"
28,"Zəyəm Cırdaxan","0101000020E61000008B27CCC529E9464068F052454C714440","Zeyem Cırdahan"
29,"Duyerli","0101000020E6100000D7B90E7ADBEC4640DC7F643A74754440","Duyerli"
30,"Böyük Kəsik","0101000020E6100000B2BEDC8200984640B9A5D590B8B14440","Böyük Kesik"
31,"İkinci Şıxlı","0101000020E61000009721E92EE48C464041DFCC9EBAA74440","İkinci Şıhlı"
32,"Yalama","0101000020E6100000B7F93548774A48408DDC894803E14440","Yalama"
33,"Bozalganli","0101000020E61000007C7C4276DED1464031CD74AF937E4440","Bozalganli"
34,"Düz Cırdaxan","0101000020E61000002FBBCC5598CE4640A314BE0864824440","Düz Cırdahan"
35,"Cəlilli","0101000020E61000008337FF0AF4CC464027E43911B3844440","Celilli"
36,"Xatınlı","0101000020E6100000738F5B8242D246404E0CC9C9C4854440","Hatınlı"
37,"Əlimərdanlı","0101000020E61000009E9CFC7156D6464044C2F7FE06854440","Elimerdanlı"
38,"Poylu","0101000020E61000005D370076C9B946408DC41561D4934440","Poylu"
39,"Aşağı Göycəli","0101000020E6100000D42E015361BD46406E5CB521B58E4440","Aşağı Göyceli"
40,"Yeniqend","0101000020E610000036296096D1BE464007616EF772934440","Yenigend"
41,"Zəlimxan","0101000020E6100000B289271653BD464067DBC424B7954440","Zelimhan"
42,"Qıraq Kəsəmən","0101000020E6100000E67D778604BB46400892770E659B4440","Gırag Kesemen"
43,"Poylu","0101000020E61000001F1ACC1594B84640C4C83780239D4440","Poylu"
44,"Kəmərli","0101000020E6100000B0202812A78C46405270C2CE5E9B4440","Kemerli"
45,"Omarghali","0101000020E61000009762FD55369A464047713381C7A34440","Omarghali"
46,"Birinci Şıxlı","0101000020E610000065845C4EAE934640CD70A884CCA44440","Birinci Şıhlı"
47,"Hadrut","0101000020E610000051346A190484474015634FF16EC24340","Hadrut"
48,"Qırmızı Bazar","0101000020E61000006BE56F8CAE794740EB217596B4D64340","Gırmızı Bazar"
49,"Gürgan","0101000020E6100000BD6E1118EB2A4940291D514601334440","Gürgan"
50,"Balaxanı","0101000020E610000049B5F40DF1F54840D13131A7153B4440","Balahanı"
51,"Zar","0101000020E6100000D91DF7521DFA4640DA6443ED6D004440","Zar"
52,"Heyvalı","0101000020E6100000FFFFA4468D4E4740970CB6C7C1124440","Heyvalı"
53,"Qozlu","0101000020E6100000305173A8953C47403EB0E3BF400E4440","Gozlu"
54,"Həsənriz","0101000020E610000080304B96EE414740A87922E3AC144440","Hesenriz"
55,"Qozlukörpü","0101000020E610000067AA7180AA3A4740CD6CA1759E104440","Gozlukörpü"
56,"Kərəmli","0101000020E6100000CB0D2B8139374740CD0CD1D7E2144440","Keremli"
57,"Qızılqaya","0101000020E610000039888CFD1B42474072E371ACE60F4440","Gızılgaya"
58,"Çərəkdar","0101000020E6100000CB3D6E090A2C47402349B5F40D124440","Çerekdar"
59,"Dəvədaşı","0101000020E6100000526D2695DF4E474036F405E3960F4440","Devedaşı"
60,"Kolatağ","0101000020E61000003BD56BC4DD4C4740B8697DDB5D004440","Kolatağ"
61,"Umudlu","0101000020E61000000904954CA94B47408964236B68184440","Umudlu"
62,"Kiçik Qarabəy","0101000020E6100000247CEF6FD060474075C707E2E11A4440","Kiçik Garabey"
63,"Yayıcı","0101000020E6100000E4B8F880E54947406CE80BC62D104440","Yayıcı"
64,"Çıldıran","0101000020E6100000DE663BF07B524740753BFBCA830D4440","Çıldıran"
65,"Dovşanlı","0101000020E61000006272593B404E47401EC940F916074440","Dovşanlı"
66,"Çıraqlı","0101000020E6100000E161DA37F75E4740BAA69B1FDA164440","Çıraglı"
67,"Ulu Qarabəy","0101000020E6100000299485AFAF5A47405D9088844A1B4440","Ulu Garabey"
68,"Yuxarı Oratağ","0101000020E61000009DD3D1167C44474029194A37D3104440","Yuharı Oratağ"
69,"Çardaqlı","0101000020E6100000ACD0F69E805B474032175D83631F4440","Çardaglı"
70,"Ballıqaya","0101000020E610000068B9C72D4156474000CA3A7716084440","Ballıgaya"
71,"Talış","0101000020E6100000D5A425A0D35E4740C94FF40A55304440","Talış"
72,"Dəmirli","0101000020E610000042BE3A7DF361474010F7A287EB164440","Demirli"
73,"Çormanlı","0101000020E61000007F2EBF78AB484740DE9623BFD9034440","Çormanlı"
74,"Suqovuşan","0101000020E61000003AB764B03D604740962023A0C2294440","Sugovuşan"
75,"Təpəkənd","0101000020E6100000F1475167EE584740C2D43B8155264440","Tepekend"
76,"Ağabəyyalı","0101000020E61000004ACA822E86654740AD3594DA8B1A4440","Ağabeyyalı"
77,"Gülyataq","0101000020E610000094AC79443B6047407333373A42134440","Gülyatag"
78,"Bazarkənd","0101000020E6100000A9E8FEA0E44A4740AB93331477074440","Bazarkend"
79,"Vəngli","0101000020E610000091D6732DB5454740E79AB80B83064440","Vengli"
80,"Canyataq","0101000020E6100000365085E4096347405EDB36E73B114440","Canyatag"
81,"Meqrelalay","0101000020E610000004EB93371B5E4740403965C9771F4440","Megrelalay"
82,"Dağmalı","0101000020E6100000C3D1FA00494F47406BA807BB17024440","Dağmalı"
83,"Qızıl Kəngərli","0101000020E610000079AC1919E47047405F0432E0D10C4440","Gızıl Kengerli"
84,"Lüləsaz","0101000020E61000005AC86D45AC5D47405BA2693F08234440","Lülesaz"
85,"Mollalar","0101000020E6100000BEDD921CB0694740DB300A82C7084440","Mollalar"
86,"Əliağalı","0101000020E61000006047D22467634740227F7A7DF7044440","Eliağalı"
87,"Şuşakənd","0101000020E6100000CD5B751DAA6447405DDA159FA7E24340","Şuşakend"
88,"Dəmirçilər","0101000020E6100000BF23CF9AC46B4740743D76BC6EDB4340","Demirçiler"
89,"Təzəbinə","0101000020E610000093E8C0CD3D6347406A786979D4F64340","Tezebine"
90,"Çanaqçı","0101000020E61000001F2A32DF666A47408A3A730F09DA4340","Çanagçı"
91,"Sığnaq","0101000020E61000000CD92F8E80664740604F858950DC4340","Sığnag"
92,"Dağyurd","0101000020E6100000C85B53C5F9734740B900344A97DC4340","Dağyurd"
93,"Mədətkənd","0101000020E6100000892249B5F46B47403090B1248AD94340","Medetkend"
94,"Qızıloba","0101000020E61000002BB28CC34F6D47402EED8ACF53E24340","Gızıloba"
95,"Qarabulaq","0101000020E6100000297BA6F2D16E47407153A81375DA4340","Garabulag"
96,"Ağgədik","0101000020E6100000E103E044996C47409A6C4D04BBF34340","Ağgedik"
97,"Dağdağan","0101000020E610000019C0A5AD5B6947407B174A8160E64340","Dağdağan"
98,"Naxçıvanlı","0101000020E610000024F2B803D06F4740817DCFA33DF44340","Nahçıvanlı"
99,"Şelli","0101000020E61000004E34FE33397247407AB9991B1DFA4340","Şelli"
100,"Harov","0101000020E6100000D93D7958A86C4740F42E83D668E94340","Harov"
101,"Aşağı Yemişcan","0101000020E61000001C2785798F6B4740A241AFE4CFDE4340","Aşağı Yemişcan"
102,"Ağbulaq","0101000020E6100000373D83E1B7734740C992399677F04340","Ağbulag"
103,"Mehdibəyli","0101000020E6100000C8F37409E25D47405A56500768F24340","Mehdibeyli"
104,"Xaçmaç","0101000020E6100000896E073422704740253BDB487EE04340","Haçmaç"
105,"Qarakötük","0101000020E61000007242322E66594740EFC7ED974FFA4340","Garakötük"
106,"Seyidbəyli","0101000020E61000007D2D9E3017594740F66A364536FE4340","Seyidbeyli"
107,"Muxtar","0101000020E6100000D0E2D6EE686347403E9A45836FE14340","Muhtar"
108,"Xanbağı","0101000020E61000002918DF61246447405B0641ECF1EF4340","Hanbağı"
109,"Qışlaq","0101000020E610000092AE997CB35B4740A8604326CFFC4340","Gışlag"
110,"Badara","0101000020E6100000FA70DA9DFF5447409A8356163BF64340","Badara"
111,"Daşbulaq","0101000020E610000087646DF8825A4740F6173037CEF64340","Daşbulag"
112,"Qayabaşı","0101000020E6100000A8EA7992CF5947407BF7C77BD5F24340","Gayabaşı"
113,"Sərdarkənd","0101000020E6100000FEB4F6E39B61474064100EAC99FE4340","Serdarkend"
114,"Xanyurdu","0101000020E61000009F05FC75025F4740AEE3AE14B8EC4340","Hanyurdu"
115,"Ballıca","0101000020E6100000F960BE61475D47402FCF392E99EF4340","Ballıca"
116,"Şəlvə","0101000020E61000007041B62C5F5B47405B5D4E0988FE4340","Şelve"
117,"Fərrux","0101000020E61000007B319413ED66474050B5CCD886024440","Ferruh"
118,"Xanabad","0101000020E6100000AA0D4E44BF6847404F48217F1FFC4340","Hanabad"
119,"Almalı","0101000020E61000006A9D5D633C584740975FBCD529FC4340","Almalı"
120,"Pirlər","0101000020E610000090DD054A0A6B47409E770888EEFE4340","Pirler"
121,"Dərələyəz","0101000020E610000014F879426561474014E97E4E41F54340","Dereleyez"
122,"Xanyeri","0101000020E6100000D7E6B5C82C5747401D46F762DEF74340","Hanyeri"
123,"Sarıbaba","0101000020E61000007AC6BE64E34A47402D21C43AFAD64340","Sarıbaba"
124,"Turşsu","0101000020E610000059E7CE02A35347406E799BEDC0D74340","Turşsu"
125,"Kiçik Qaladərəsi","0101000020E6100000FD80AC4C9D4D4740027E326BCED14340","Kiçik Galaderesi"
126,"Daşaltı","0101000020E610000023FF27DAB05F47406814DC5905DF4340","Daşaltı"
127,"Böyük Qaladərəsi","0101000020E61000005772BAD16C4C4740B8CE1A1769D44340","Böyük Galaderesi"
128,"Avdur","0101000020E6100000E266A7D546784740F20C1AFA27EC4340","Avdur"
129,"Qacar","0101000020E6100000B122597677874740671BC92FCDD24340","Gacar"
130,"Zərdankənd","0101000020E610000000D2EDDBFF7047408E45894CAFD54340","Zerdankend"
131,"Ağbulaq","0101000020E610000011001C7BF6744740870B8A308FDF4340","Ağbulag"
132,"Qarqar","0101000020E61000003705E8AD707B47403D10B45DFCD94340","Gargar"
