"id","name","geom","nametr"
1,"Бишкек","0101000020E61000006AEE320DD4A65240D7A205685B704540","Bişkek"
2,"Балыкчы","0101000020E6100000C48BCFAE8C0C5340EBE6E26F7B3A4540","Balıkçı"
3,"Нарын","0101000020E6100000F93E66B15E0053408E942D9276B64440","Narın"
4,"Жалал-Абад","0101000020E610000043C5387F13405240E01C644804774440","Jalal-Abad"
5,"Каракол","0101000020E61000004552C197F89853401A097E65EF3E4540","Karakol"
6,"Өзгөн","0101000020E6100000AB85483C0F5352407A354069A8624440","Özgön"
7,"Таш-Көмүр","0101000020E6100000D845D1031F0E524003DDA85F33AC4440","Taş-Kömür"
8,"Баткен","0101000020E6100000EF9293E494B451400EF62686E4074440","Batken"
9,"Кызыл-Кия","0101000020E610000015B655FF560852408250830E5F214440","Kızıl-Kiya"
10,"Токмок","0101000020E61000002A487DA3E7D25240063708292E6B4540","Tokmok"
11,"Ош","0101000020E6100000671426E79F32524033480BE1E2434440","Oş"
