"id","name","geom","nametr"
1,"Ак-Терек","0101000020E61000006FF607CA6D315240586A6226F6344440","Ak-Terek"
2,"Берю","0101000020E61000000F6A7528793D5240C4C02962C72C4440","Beryu"
3,"Кара-Сегет","0101000020E6100000B800D990A43E524099373DDE9A304440","Kara-Seget"
4,"Кайырма","0101000020E6100000677682A21E3352407181BA37757E4440","Kayırma"
5,"Ак-Терек","0101000020E6100000E84020E1C56E5340481229722D1E4540","Ak-Terek"
6,"Ынтымак","0101000020E6100000E0AB0C9961885340359C8DF051544540","Intımak"
7,"Корумду","0101000020E61000008D3CB59F31A4534036BBA4202E644540","Korumdu"
8,"Кеочю","0101000020E61000000652BD9069A25340A39410ACAA644540","Keoçyu"
9,"Богатыровка","0101000020E61000002C1DBD2B4C895340BB12DCA392434540","Bogatırovka"
10,"Кең-Суу","0101000020E6100000A142BF008CEB5240877945A632F74440","KeNg-Suu"
11,"Ак-Кыя","0101000020E61000000B41B39025FE5240CD4301367BF54440","Ak-Kıya"
12,"Тура-Суу","0101000020E6100000E3175E49F20C5340DD3FBBE8D0F84440","Tura-Suu"
13,"Жер-Көчкү","0101000020E61000005F251FBB8B145340F990A630A5F74440","Jer-Köçkü"
14,"Орто-Саз","0101000020E61000004DF38E53740353409ACBB2CCC7B84440","Orto-Saz"
15,"Сагыз-Кандык","0101000020E61000004382F3F3F0215240197442E8A0F94440","Sagız-Kandık"
16,"Ылай-Талаа","0101000020E610000067CCC930936652408F56B5A4A34B4440","Ilay-Talaa"
17,"Сары-Бээ","0101000020E6100000FC0681F0FC7852403447567E19474440","Sarı-Bee"
18,"Беш-Таш","0101000020E6100000CA428534F41E5240F1CA3F44B4FE4440","Beş-Taş"
19,"Балыкты","0101000020E610000004238A24D529524068C7B20529F84440","Balıktı"
20,"Комсомол","0101000020E6100000F5BC1B0B8A4C52400F379666A98A4440","Komsomol"
21,"курорт Жети-Огуз","0101000020E6100000C25895334A8F5340FAB9A1293B2A4540","kurort Jeti-Oguz"
22,"Торугарт","0101000020E61000009AB8B0C975DA52406EEF6481C04B4440","Torugart"
23,"Таш-Башат","0101000020E610000096BA1A8F08B05240B7F9354877564540","Taş-Başat"
24,"Кызыл-Бирдик","0101000020E6100000ABFB11D08EAD52400051D5A9975B4540","Kızıl-Birdik"
25,"Боз-Бармак","0101000020E61000005B689DA7F0B85240863B17467A644540","Boz-Barmak"
26,"Тогуз-Булак","0101000020E61000007F53B36213B952405521D4FB7C554540","Toguz-Bulak"
27,"Ленинское","0101000020E61000001DAB949E69B15240A09394AAA3694540","Leninskoe"
28,"Оттук","0101000020E61000009FC14B1531F652403F15DCB4BED04440","Ottuk"
29,"Орто-Токой","0101000020E61000005D15A8C560015340A30227DBC02B4540","Orto-Tokoy"
30,"Казан-Куйган","0101000020E61000007C9E9A26C7F552405CF40478C1D04440","Kazan-Kuygan"
31,"Калмак-Ашуу","0101000020E61000006D697FB188055340C4375ECB755C4540","Kalmak-Aşuu"
32,"Кароол-Дёбё","0101000020E61000001BA19FA9D7075340FBA01D26D05D4540","Karool-Dyobyo"
33,"Дайырбек","0101000020E6100000CDC75AE86FB6524011154FE218664540","Dayırbek"
34,"Джогорку-Ичке-Суу","0101000020E6100000A5EFDA4AD4B3524009DD257156574540","Djogorku-İçke-Suu"
35,"Горная Серафимовка","0101000020E6100000DF50F86C9DB752408D3FF61F3E584540","Gornaya Serafimovka"
36,"Кара-Сакал","0101000020E61000001B98816FBF975240AA7C748F11694540","Kara-Sakal"
37,"Куйручук","0101000020E610000008F4D3C963B55240150AC7E2EDFC4440","Kuyruçuk"
38,"Покровская пристань","0101000020E61000004463377D877A5340D7F445E7A12F4540","Pokrovskaya pristanь"
39,"Чычкан","0101000020E61000005A9423AE2D725340505F854A12234540","Çıçkan"
40,"Ак-Булун","0101000020E6100000ABB184B5311253406D301EEF9FB94440","Ak-Bulun"
41,"Баш-Каинды","0101000020E6100000388F79D3E3F95240EB9914D511944440","Baş-Kaindı"
42,"Кожомкул","0101000020E61000001801BAD42D85524082B5204A6A104540","Kojomkul"
43,"Орто-Нура","0101000020E61000006D2BAC0A430D5340A7D315C7DCB94440","Orto-Nura"
44,"Чет-Нура","0101000020E610000034B275BABD0B534029BA89B553BA4440","Çet-Nura"
45,"Чырак","0101000020E6100000C4B29943528A5340265C23DD2A3B4540","Çırak"
46,"Ата-Мерек","0101000020E6100000822DC088C7365240023E89192B2C4440","Ata-Merek"
47,"Кызыл-Туу","0101000020E61000007B489D256D3E5240D3A1D3F36E204440","Kızıl-Tuu"
48,"Ак-Булак","0101000020E6100000FC0D2439AA8E53403795FBD3FC654540","Ak-Bulak"
49,"Кызыл-Орюк","0101000020E6100000B47570B037195340DF3DF669CB3E4540","Kızıl-Oryuk"
50,"Кенджекул","0101000020E610000011233ABA00345240689F7D9BB4514440","Kendjekul"
51,"Жон","0101000020E61000002834FF9E8E325240971DE21FB6824440","Jon"
52,"Карача","0101000020E6100000307EBF3DF4335240B15EFBB8EC8A4440","Karaça"
53,"Бейшеке","0101000020E610000024021FCD22F4524063450DA661684540","Beyşeke"
54,"Жел-Арык","0101000020E6100000AE84494CABF45240B82C150AC75F4540","Jel-Arık"
55,"Дорожное","0101000020E61000008E0CCDD053F252408D91369F84614540","Dorojnoe"
56,"Чуйское","0101000020E61000009253E009E2F15240D07355EAA3634540","Çuyskoe"
57,"Айбек","0101000020E6100000789ACC78DB2A52403B9F4B8281204440","Aybek"
58,"Арал","0101000020E6100000D6A71C9345285240118E59F624264440","Aral"
59,"Токбай","0101000020E61000009D3B0B8C869A52409AB1683A3B664540","Tokbay"
60,"Лесное","0101000020E61000000F05D8EC6D9B5240E25817B7D17B4540","Lesnoe"
