"id","name","geom","nametr"
1,"Кант","0101000020E610000090A740C120B65240C5B2F4FCC4714540","Kant"
2,"Түп","0101000020E61000001442075D429753405A3629BB4F5D4540","Tüp"
3,"Раззаков","0101000020E6100000C01770E09F615140B84C970F52EB4340","Razzakov"
4,"Сүлүктү","0101000020E61000008C063AA4626451403FC8B260E2F74340","Sülüktü"
5,"Гүлчө","0101000020E610000055FF7B4B945C524041BC091923284440","Gülçö"
6,"Араван","0101000020E6100000098DBB9CED1F524018552BB8C4414440","Aravan"
7,"Кара-Суу","0101000020E6100000F2B798FA5438524056C675429E5A4440","Kara-Suu"
8,"Кербен","0101000020E6100000B60F79CB55F05140A9A9C024F0BE4440","Kerben"
9,"Майлуу-Суу","0101000020E61000004815C5ABAC1C5240C4C7CCAA749F4440","Mayluu-Suu"
10,"Кочкор-Ата","0101000020E6100000AB03C534F81E5240B11FBD3CF8844440","Koçkor-Ata"
11,"Массы","0101000020E61000004690EFF7B0285240C888FA134B884440","Massı"
12,"Казарман","0101000020E6100000DD6A8C8CC481524017844DF800B44440","Kazarman"
13,"Чаек","0101000020E6100000815F7E0283A15240241E9AC3FFF64440","Çaek"
14,"Талас","0101000020E610000046031D52310F5240C5ED8623FE424540","Talas"
15,"Кызыл-Адыр","0101000020E6100000A9B3A4EDA9E55140341FC65A324F4540","Kızıl-Adır"
16,"Арсланбоб","0101000020E6100000B1A371A85F3B5240CC2D084037AB4440","Arslanbob"
17,"Кызыл-Суу","0101000020E6100000EB724A404C805340821ABE85752B4540","Kızıl-Suu"
18,"Ак-Суу (Теплоключенка)","0101000020E6100000C1E03F8287A15340DA1CE736E13F4540","Ak-Suu (Teploklyuçenka)"
19,"Бөкөнбаев","0101000020E610000020BEA7CD933F5340599AA5AEC60E4540","Bökönbaev"
20,"Кемин","0101000020E6100000C07630629FEC524078E860A2E6644540","Kemin"
21,"Чолпон-Ата","0101000020E61000008693347FCC445340F49BD3765D534540","Çolpon-Ata"
22,"Каинды","0101000020E61000000F8F0E596E6B5240F9A81A18D4694540","Kaindı"
23,"Ноокат","0101000020E610000000AD54AB8A275240222697B503224440","Nookat"
24,"Достук","0101000020E6100000B3FAD97EE8E852406A300DC347B04440","Dostuk"
25,"Баетов","0101000020E6100000AA3EA1E84BBD524071D701C6E9A14440","Baetov"
26,"Көк-Жаңгак","0101000020E6100000C13346906F4C52408EDEBAACD3834440","Kök-JaNggak"
27,"Базар-Коргон","0101000020E6100000D7E2AEB97E2F5240DFC4909C4C844440","Bazar-Korgon"
28,"Шопоков","0101000020E6100000217E5935E3955240C65C0828C36D4540","Şopokov"
29,"Шамалды-Сай","0101000020E61000005A6CEE43B90B5240BB75487BCD994440","Şamaldı-Say"
30,"Ак-Тюз","0101000020E61000009A498A7EA3085340A1736D5E8B704540","Ak-Tyuz"
31,"Кажы-Сай","0101000020E61000003E93FDF3B44B53400AC84DC3A6114540","Kajı-Say"
32,"Кадамжай","0101000020E6100000AFCE31207BEE51409441FF4EA4104440","Kadamjay"
33,"Айдаркен","0101000020E61000003111CA56F2D55140A21FB2ED59F84340","Aydarken"
34,NULL,"0101000020E61000002A487DA3E7D25240063708292E6B4540",NULL
35,"Орловка","0101000020E61000008B47F311C2E55240FAA70AFC975F4540","Orlovka"
36,"Токтогул","0101000020E6100000E451859A7C3C5240EA831BDFCDEF4440","Toktogul"
37,"Ала-Бука","0101000020E6100000C57C2F74DBDE5140EE618ACD22B44440","Ala-Buka"
38,"Беловодское","0101000020E61000000930D1C5CB8752403AB24D85D36A4540","Belovodskoe"
39,"Кара-Кулжа","0101000020E610000018EDF142BA65524001AC448FCE504440","Kara-Kulja"
40,"Покровка","0101000020E610000048066FFE15E751402DB0C7444A5D4540","Pokrovka"
41,"Каныш-Кыя","0101000020E61000003E91CC8F64C451408D919158F7E14440","Kanış-Kıya"
42,"Кочкор","0101000020E6100000ACF3B92418F0524052D0926C1A1B4540","Koçkor"
43,"Ат-Башы","0101000020E61000002DF5E27ACAF352409D7642F9CC954440","At-Başı"
44,"Камбар-Ата","0101000020E61000004E9C37A9434852408F8AFF3BA2DD4440","Kambar-Ata"
45,"Кара-Көл","0101000020E610000050BD7F3D702B52401E79D6242ED14440","Kara-Köl"
46,"Кара-Балта","0101000020E6100000744F0DEA91765240330285D5B3664540","Kara-Balta"
47,"Интернациональное","0101000020E610000003684AA1E26A51402250A2CAD50E4440","İnternatsionalьnoe"
48,"Чуй","0101000020E6100000D931642B1ED2524058607E5D3C694540","Çuy"
49,"Эңилчек","0101000020E61000009A5A5B1DA5C55340ABB184B531044540","ENgilçek"
