"id","name","geom","nametr"
1,"Алматы","0101000020E610000062DBA2CC863C5340F0822D1B429E4540","Almatı"
2,"Семей","0101000020E6100000E59F747DFA0F5440962023A0C2334940","Semey"
3,"Астана","0101000020E6100000579B5A1190DB5140A016838769904940","Astana"
4,"Атырау","0101000020E61000004AF2B798FAF449403E31FCF1A88D4740","Atırau"
5,"Түркістан","0101000020E6100000DE3422BD4D1151407B551D28A6A64540","Türkіstan"
6,"Тараз","0101000020E6100000FC77D89F1FD8514072E0D57267734540","Taraz"
7,"Қарағанды","0101000020E610000044E2790492465240F32B8CE376E84840","Karağandı"
8,"Павлодар","0101000020E61000003AB01C21833C5340F00BF9B193244A40","Pavlodar"
9,"Өскемен","0101000020E61000001B5B199E28A85440078C3F9B66F94840","Öskemen"
10,"Ақтөбе","0101000020E6100000F27E37386C9D4C4073220BE24D244940","Aktöbe"
11,"Қызылорда","0101000020E61000006511D43A3B6050405908BCDDDC6B4640","Kızılorda"
12,"Көкшетау","0101000020E6100000F39E14F76958514041D24C9C81A44A40","Kökşetau"
13,"Рудный","0101000020E61000004834812216914F40CB2E185C737B4A40","Rudnıy"
14,"Талдықорған","0101000020E6100000722A638D44985340FF19EFD819824640","Taldıkorğan"
15,"Жезқазған","0101000020E61000006B72E778BBED5040AD6EF59CF4E64740","Jezkazğan"
16,"Ақсу","0101000020E61000008E902683C83B53407EBD67C988044A40","Aksu"
17,"Степногорск","0101000020E6100000D8D64FFF59F8514033A48AE2552C4A40","Stepnogorsk"
18,"Қостанай","0101000020E61000003F1C2444F9D04F4086DFF2FD799B4A40","Kostanay"
19,"Ақтау","0101000020E6100000DE3B6A4C88954940ACFA01B452D14540","Aktau"
20,"Петропавл","0101000020E61000005F84DF3C8B48514095EAA7A4F36E4B40","Petropavl"
21,"Шымкент","0101000020E61000002294522BA765514076960FF747284540","Şımkent"
22,"Орал","0101000020E61000000527ECEC75AF494061CDB7F41E9A4940","Oral"
23,NULL,"0101000020E6100000D240E20D1F165140F7AE415F7A654440",NULL
