"id","name","geom","nametr"
1,"Қосқұдық","0101000020E610000000E2AE5E455A5340D7A02FBDFD094640","Koskұdık"
2,"Қаншеңгел","0101000020E6100000726660892CE352404F458545A0294640","KanşeNggel"
3,"Бурылбайтал стансасы","0101000020E61000003447567E198152400AF4893C49784640","Burılbaytal stansası"
4,"Ақжарық","0101000020E61000005EA0A4C002DF524061A6ED5F59494840","Akjarık"
5,"Когершин","0101000020E610000092E7FA3E1C2152407D96E7C1DD6F4540","Kogerşin"
6,"Карим Мынбаев","0101000020E61000001684F23E8EE05140B3B3E89D0A084940","Karim Mınbaev"
7,"Ганькино","0101000020E610000074AB313212875140E07E654A90714B40","Ganьkino"
8,"Трамбовка","0101000020E6100000B6DAC35E28A051409A5FCD01826D4A40","Trambovka"
9,"Кызылуюм","0101000020E610000092205C0185A65140E1421EC18D6E4A40","Kızıluyum"
10,"Шиели","0101000020E6100000D9CD8C7E349C5140F72004E44B564A40","Şieli"
11,"кордон Золотой Бор","0101000020E610000015BA5C0E85A65140D1CB28965B804A40","kordon Zolotoy Bor"
12,"Карловка","0101000020E6100000377172BF43A35140A20E2BDCF26F4A40","Karlovka"
13,"Жүкей","0101000020E6100000D5EB1681B1A65140C231CB9E04764A40","Jükey"
14,"Абжан","0101000020E6100000820B68D8DE085340103E9468C9784A40","Abjan"
15,"Аққала","0101000020E61000006431FB86D3E0494068BFFFA03F4F4840","Akkala"
16,"Жанакала","0101000020E61000008599B67F65895040B2F50CE198E54840","Janakala"
17,"Жанакала","0101000020E6100000CFA3E2FF8E705240A5A14621C91C4940","Janakala"
18,"Караганды","0101000020E61000007A36AB3E57134A40B63176C24B5A4940","Karagandı"
19,"Баженово","0101000020E610000008BCDDDCA93F54402B31CF4A5A314940","Bajenovo"
20,"Жанаталап","0101000020E610000052280B5F5FA5514086E464E2568F4A40","Janatalap"
21,"Карагай","0101000020E6100000702711E15FA051400A12DBDD03524A40","Karagay"
22,"Буланды","0101000020E6100000EA78CC40659E51409E7AA4C16D534A40","Bulandı"
23,"Щучин санаторийі","0101000020E610000070575469B08C514073A32314B6814A40","Şçuçin sanatoriyі"
24,"Ахмирово","0101000020E6100000AEF5A0FBCDA1544027440AAF6EF94840","Ahmirovo"
25,"Аскаралы","0101000020E6100000A14ACD1E6844544094F947DFA4074940","Askaralı"
26,"Климентьевка","0101000020E6100000CAA65CE15D3B5440CF49EF1B5F214940","Klimentьevka"
27,"Поллог","0101000020E6100000E38E37F9AD4E5440E012807F4A404940","Pollog"
