"id","name","geom","nametr"
1,"Қаштақ","0101000020E6100000F05EFFBF7B265440B76114048F334940","Kaştak"
2,"Типқашы","0101000020E6100000270DDA50D62D544027B627EDB2314940","Tipkaşı"
3,"Аққора 2","0101000020E6100000E27E1BBD758C53400B372A81DE884840","Akkora 2"
4,"Киікқашқан","0101000020E61000003DB4345C09445340EF192E1796BC4840","Kiіkkaşkan"
5,"Қараөлең","0101000020E61000004CFE277FF75A534055A0168387AD4840","KaraöleNg"
6,"Қабақши 1","0101000020E61000002CDA77A0295953400E791563AAAE4840","Kabakşi 1"
7,"Мастекбай","0101000020E6100000BE480D12C7595340D228136D7DA54840","Mastekbay"
8,"Максим Горький","0101000020E6100000A479B6FDE1765440FBD813138AE34740","Maksim Gorьkiy"
9,"Рамазан","0101000020E61000001D627259BBB95340607DF266C33C4840","Ramazan"
10,"Қуандық","0101000020E6100000F972558F6ADD5340202AE8514CF14840","Kuandık"
11,"Егінші","0101000020E610000045888620E2D35340BCBA1924331A4940","Egіnşі"
12,"Жырық","0101000020E61000000A93F30FECD35340AD461BECF2FA4840","Jırık"
13,"Сарапан","0101000020E61000004E1542BD4FC953403086CD5BD0034940","Sarapan"
14,"Сынтас","0101000020E610000025DB0AABC2E653409B4C26B8A2214940","Sıntas"
15,"Сарыбұлақ","0101000020E610000094FD4EEED2EB534067536463141F4940","Sarıbұlak"
16,"Талды","0101000020E61000009E1E8079EDEA534011E8A793C7354940","Taldı"
17,"разъезд 16","0101000020E610000009A8700429025440E22D4613DE304940","razъezd 16"
18,"Крупская атындағы","0101000020E6100000906B43C5B8005440CF34BCB43C3C4940","Krupskaya atındağı"
19,"Балтатарақ","0101000020E61000001BDA006CC00A5440999361269B144940","Baltatarak"
20,"Ортабаз","0101000020E6100000DADA0C81EDAA5440FEEA1626F8094840","Ortabaz"
21,"Боғас","0101000020E61000007A3881E9B4AD544040BFEFDFBC0A4840","Boğas"
22,"Боғас","0101000020E61000001FD03EFBB6BA54409879BCDA9B0F4840","Boğas"
23,"1 микрорайон","0101000020E610000091C6B2AA6F44544040DCD5ABC8314940","1 mikrorayon"
