"id","name","geom","nametr"
1,"Талғар","0101000020E6100000CF9C9A70544F53405C9E18A3BFA64540","Talğar"
2,"Форт-Шевченко","0101000020E6100000DF6FB4E386214940A017EE5C18414640","Fort-Şevçenko"
3,"Шу","0101000020E6100000A69BC420B070524087F9F202ECCD4540","Şu"
4,"Бауыржан Момышұлы","0101000020E6100000EB6F09C03FB15140276893C3274F4540","Bauırjan Momışұlı"
5,"Қаратау","0101000020E6100000328FFCC1C09D5140A053909F8D964540","Karatau"
6,"Жаңатас","0101000020E610000000D2EDDB7F6E51407832EEBC43C74540","JaNgatas"
7,"Теміртау","0101000020E610000091007F42073D5240DF89592F86074940","Temіrtau"
8,NULL,"0101000020E6100000722A638D44985340FF19EFD819824640",NULL
9,"Кентау","0101000020E610000003BCBB84F91F514073F0F1AE1FC24540","Kentau"
10,"Арыс","0101000020E61000002D4ABF33103451403D821B295B374540","Arıs"
11,"Отар","0101000020E6100000B6F81400E3CD524071E5EC9DD1C44540","Otar"
12,"Сарыөзек","0101000020E61000002E3883BF5F7E5340CEC7B5A1622E4640","Sarıözek"
13,"Қонаев","0101000020E61000000BE1E2F269435340205D11A1B6EE4540","Konaev"
14,"Қарабұлақ","0101000020E6100000DFA815A66F9F5340BC0512143F744640","Karabұlak"
15,"Текелі","0101000020E61000000BCFF00BD4B05340F4EB3D4B466E4640","Tekelі"
16,"Лепсі","0101000020E6100000A1866F61DDBB534040868E1D541E4740","Lepsі"
17,"Үшарал","0101000020E6100000D5CDC5DFF63C5440068195438B164740","Üşaral"
18,"Сарқан","0101000020E6100000F45D00D097FA5340B856201F99B44640","Sarkan"
19,"Жансүгіров","0101000020E6100000E833A0DE8CE053401ADEACC1FBB24640","Jansügіrov"
20,"Үржар","0101000020E6100000EA094B3CA0685440E0032AD2B38C4740","Ürjar"
21,"Балпық би","0101000020E610000070EB6E9EEA8E5340E8A562635E734640","Balpık bi"
22,"Жаркент","0101000020E61000001FDB32E02C005440C18BBE8234154640","Jarkent"
23,"Шонжы","0101000020E6100000F4C308E1D1DD53404EF2237EC5C44540","Şonjı"
24,"Кеген","0101000020E61000009F71E14048CE5340BE310400C7824540","Kegen"
25,"Шелек","0101000020E61000003FC571E0D590534060764F1E16CC4540","Şelek"
26,"Нарынқол","0101000020E610000047C8409E5D0B54402C6519E2585D4540","Narınkol"
27,"Есік","0101000020E610000071E5EC9DD15D534057AF22A303AE4540","Esіk"
28,"Шамалған","0101000020E6100000C53D963EF42753405485ABA866AF4540","Şamalğan"
29,"Ұзынағаш","0101000020E61000003C9BFAE5381453407A43D0871D9B4540","Ұzınağaş"
30,"Балқаш","0101000020E6100000B83CD68C8CBE5240AE049CEFF16B4740","Balkaş"
31,"Қабанбай","0101000020E61000002E3883BF5F285440E690D442C9EA4640","Kabanbay"
32,"Қалбатау","0101000020E61000001AA20A7F86645440CBA0DAE044AA4840","Kalbatau"
33,"Риддер","0101000020E61000000E6954E064E05440B0C8AF1F622B4940","Ridder"
34,"Алтай","0101000020E610000004E8F7FD9B115540B0AD9FFEB3DC4840","Altay"
35,"Қордай","0101000020E6100000E21E4B1FBAAD5240B3EF8AE07F854540","Korday"
36,"Меркі","0101000020E6100000D828907E204B5240BAD51819896F4540","Merkі"
37,"Леңгір","0101000020E610000026E4839ECD785140CA52EBFD46174540","LeNggіr"
38,"Сарыағаш","0101000020E6100000E5A55137864A5140507F07509DB94440","Sarıağaş"
39,"Жетісай","0101000020E6100000DB300A82C7145140094E7D2079634440","Jetіsay"
40,"Атакент","0101000020E6100000B47D7ECE93205140834C3272166C4440","Atakent"
41,"Мырзакент","0101000020E61000004C338232322351402A6F47382D554440","Mırzakent"
42,"Шардара","0101000020E6100000A6B915C26AFE5040213EB0E3BFA04440","Şardara"
43,"Лисаковск","0101000020E6100000D3156C239E3E4F4029081EDFDE454A40","Lisakovsk"
44,"Жанаозен","0101000020E6100000E61EB704856D4A404DD5E2F846AB4540","Janaozen"
45,"Құрық","0101000020E6100000D01F3FC0FFD64940B6300BED9C964540","Kұrık"
46,"Құлсары","0101000020E61000007BC5AE48A7014B407533EDAC277B4740","Kұlsarı"
