"id","name","geom","nametr"
1,"Türkmenbaşy","0101000020E610000036DDFCD0167F4A40DCCE6339AE004440","Türkmenbaşı"
2,"Kerki","0101000020E6100000DF2B0483354D5040D82EC8F19EEB4240","Kerki"
3,"Daşoguz","0101000020E6100000868D57C5C0FA4D40C24CDBBFB2EA4440","Daşoguz"
4,"Balkanabat","0101000020E61000006C45F69C4F2D4B40D29EDC007DC14340","Balkanabat"
5,"Mary","0101000020E61000005AF2785A7EEB4E409CD3765D09CC4240","Marı"
6,"Farap","0101000020E6100000A039460D01CE4F402463B5F97F964340","Farap"
7,"Bereket","0101000020E610000083FC6CE4BAC24B40B6549401569F4340","Bereket"
8,"Gyzylarbat","0101000020E61000006047D22467234C407C56E3B6C77C4340","Gızılarbat"
9,"Sarahs","0101000020E610000012FB04508C9B4E40304B96EE09434240","Sarahs"
10,"Bäherden","0101000020E61000008F24F72AE8B74C4019E59997C3374340","Beherden"
11,"Gökdepe","0101000020E61000009578E51F22FB4C40D9B45208E4134340","Gökdepe"
12,"Etrek","0101000020E61000003F9182024A624B402D4723FA10D54240","Etrek"
13,"Garabekewül","0101000020E61000007F3969D0860950405FA6DC33013E4340","Garabekevül"
14,"Magdanly","0101000020E6100000A0EFB8F2A383504070DC18F153E74240","Magdanlı"
15,"Darganata","0101000020E6100000BECF02FE3A144F403FAFD3A3043E4440","Darganata"
16,"Dostluk","0101000020E6100000FE800706905550403923EFC110DF4240","Dostluk"
17,"Esenguly","0101000020E6100000CB4F0537ADFC4A40DC27EC472FBD4240","Esengulı"
18,"Köýtendag","0101000020E610000094EC2296DE805040BC4DC9833EC14240","Köytendag"
19,"Gubadag","0101000020E6100000E8AB9AD65CF94D400BAD985B6B094540","Gubadag"
20,"Murgap","0101000020E610000092770E65A8FC4E400D8CBCAC89BF4240","Murgap"
21,"Serhetabat","0101000020E61000007698E5A1A5294F405CF399A212A34140","Serhetabat"
22,"Babadaýhan","0101000020E6100000D1BD3DBE73324E40EF7F362850D84240","Babadayhan"
23,"Boldumsaz","0101000020E6100000D54F49E70DD64D40CEC4742156104540","Boldumsaz"
24,"Sakar","0101000020E61000005000C5C892DF4F402C11A8FE41764340","Sakar"
25,"Halaç","0101000020E61000002EC901BB9A385040213D450E11094340","Halaç"
26,"Saýat","0101000020E610000068846D7A06F14F409F4B828131644340","Sayat"
27,"Garabogaz","0101000020E6100000696913CC3D494A4095884BE9F4C44440","Garabogaz"
28,"Hojambaz","0101000020E61000004E53156415405040F9F0D187D30E4340","Hocambaz"
29,"Şabat","0101000020E61000005E6E8B8DD40F4E40BC0E304ED7EB4440","Şabat"
30,"Akdepe","0101000020E610000081BEE3CA8FB04D4064BF380202074540","Akdepe"
31,"Änew","0101000020E6100000EAAAE57393404D40DF6C73637AF34240","Enev"
32,"Magtymguly","0101000020E6100000AEE1D8695A244C40FB4D72D1DA374340","Magtımgulı"
33,"Görogly","0101000020E6100000828472ECEAF44D4041C758B78BD34440","Göroglı"
34,"Andalyp","0101000020E6100000F3A908DC5FD14D407353B93FCDEF4440","Andalıp"
35,"Aşgabat","0101000020E610000085155DCDF0304D4004858B2661F84240","Aşgabat"
36,"Köneürgenç","0101000020E6100000E83C19D297934D403910EDBEBE294540","Köneürgenç"
37,"Dänew","0101000020E6100000E0FDA7D19A974F40294014CC98A14340","Denev"
38,"Altyn Asyr","0101000020E6100000D380E618355A4E40558847E2E5A34240","Altın Asır"
39,"Baýramaly","0101000020E6100000E02D90A0F8154F4098F6724463CE4240","Bayramalı"
40,"Ýolöten","0101000020E6100000632992AF042E4F406E39F29B1DA64240","Yolöten"
41,"Türkmenabat","0101000020E6100000FF3971DEA4CA4F40C746C5A464894340","Türkmenabat"
42,"Seýdi","0101000020E61000007595496826754F404435255987BD4340","Seydi"
43,"Kaka","0101000020E610000012E62CA2DCCE4D40CE4EAB8D56AC4240","Kaka"
44,"Şatlyk","0101000020E610000033AC3D473FCB4E40E87CC2233BCC4240","Şatlık"
45,"Gazojak","0101000020E61000003EBAC788FAB34E407F315BB22A984440","Gazocak"
46,"Türkmengala","0101000020E6100000DC1B32D4172B4F40D099B4A9BAB64240","Türkmengala"
47,"Sakarçäge","0101000020E61000003682435EC5D34E40630333F0EDD44240","Sakarçege"
48,"Tejen","0101000020E6100000F032C34659404E40BE874B8E3BB14240","Tecen"
49,"Saparmyrat Türkmenbaşy","0101000020E61000000261A75835674D403EB901FAD8304540","Saparmırat Türkmenbaşı"
50,"Arkadag","0101000020E61000001B086E49B3084D40FBE02131E6084340","Arkadag"
