"id","name","geom","nametr"
1,"Garaman","0101000020E61000006F13494FEC994E4042621635F3414240","Garaman"
2,"Batash","0101000020E61000002BD4E4733864504012D89C8367004340","Batash"
3,"Arçabil","0101000020E610000060D50FA0950B4D403B8501F0F4F44240","Arçabil"
4,"Çüli","0101000020E61000007AB5920CEF024D404134A95780FD4240","Çüli"
5,"Bagyr","0101000020E6100000DF196D55121C4D40806033654CFC4240","Bagır"
6,"Çoganly","0101000020E6100000C630276893344D40AC10A0F023014340","Çoganlı"
7,"Gökje","0101000020E6100000FB3A70CE88204D4018EDF1423AFD4240","Gökce"
8,"Wannowskiý","0101000020E61000001C785A23270E4D40B40584D6C3F94240","Vannovskiy"
9,"Yanbash","0101000020E6100000DC0E0D8B511D4D40721AA20A7FF74240","Ianbash"
10,"Berzeňňi (Berzengi)","0101000020E61000004D52F41B812F4D400DD9E50066F14240","Berzengngi (Berzengi)"
11,"207 kw.","0101000020E610000056C9117C1D2C4B407AB3BC6191C14340","207 kv."
12,"204 kw.","0101000020E61000005D34643C4A2C4B40505C44CA05C14340","204 kv."
13,"158 kw.","0101000020E6100000335AFDC7F82D4B40309C6B98A1C04340","158 kv."
14,NULL,"0101000020E610000087D1BD98772D4B4006369D537FC24340",NULL
15,NULL,"0101000020E610000035B56CAD2F2D4B403B3025372FC24340",NULL
16,NULL,"0101000020E6100000CBCF57DAF32C4B40CCD24ECDE5C14340",NULL
17,NULL,"0101000020E61000000B613596B02C4B40D720826044C14340",NULL
18,NULL,"0101000020E6100000D417F840E12C4B4054BF77407EC14340",NULL
19,NULL,"0101000020E6100000C0F858B0432C4B40810871E5ECC14340",NULL
20,NULL,"0101000020E610000025EB7074952C4B402BB8C4364EC24340",NULL
21,NULL,"0101000020E610000009F2FD1E062D4B405B5CE333D9C24340",NULL
22,"144 kw.","0101000020E6100000E757CE39D32E4B4088C55EDED2C04340","144 kv."
23,"Kenar","0101000020E6100000772D211FF4884A40FB8FF1CDDB004440","Kenar"
24,"Täze Zaman","0101000020E61000003CF88903E8234D407356FABFD9094340","Teze Zaman"
25,"Bekrewe","0101000020E6100000AA5A77989B254D4034322317F7F64240","Bekreve"
26,NULL,"0101000020E6100000CD1C37A1B52D4B409179895693C14340",NULL
27,"Gurtly","0101000020E610000078D89F1FA1284D40A8C30AB77CFE4240","Gurtlı"
28,"Panahan","0101000020E610000008B2F913F0F64D40A667D54224F04440","Panahan"
29,"Täze Zaman","0101000020E610000099BF9D9F3D254D40E5A892B7120C4340","Teze Zaman"
30,"Hellew","0101000020E610000084F068E388274D40157B1E9210FB4240","Hellev"
31,"Gurtly Ýaşaýyş Toplumy","0101000020E61000005395B6B8C6294D40F51494FD4EFD4240","Gurtlı Yaşayış Toplumı"
32,"Gülzada obasy","0101000020E61000008E9E115B30304D40A57D18C6820A4340","Gülzada obası"
33,"Büzmeýin","0101000020E6100000CF6A813D26134D40E60DE66503074340","Büzmeyin"
34,"Çoganly Ýaşaýyş Toplumy","0101000020E61000007629BF5653334D40E21FB6F468024340","Çoganlı Yaşayış Toplumı"
35,"Arzuw","0101000020E6100000654C6661F4384D4039132E3FCBF94240","Arzuv"
36,"Jülge","0101000020E6100000C504357C0B154D40C985144DB1004340","Cülge"
37,"Garagöl","0101000020E6100000D77D117EF3954A4072D7B738CFB04340","Garagöl"
38,"Dul oba","0101000020E61000002706370829F94C4057FCF03D6D134340","Dul oba"
39,NULL,"0101000020E61000004E51E4FF44FD4D4041D3122BA3ED4440",NULL
40,"Ýylanly","0101000020E6100000AE2182BBFDD04D40E52DB2F8A8EE4440","Yılanlı"
41,"Tomman","0101000020E61000005DD5A3BACA6E4D40B9212125D1304540","Tomman"
42,"Bedew","0101000020E6100000821ABE8575374D40C8A5E0DF56F84240","Bedev"
43,"Kaýtpuly","0101000020E61000009EB0694A57584C4047B2A2618C4A4340","Kaytpulı"
44,"Suýjermen","0101000020E6100000449D5ECE115E4B40AE1287C7D9124340","Suycermen"
45,NULL,"0101000020E610000089AC7F21F5F04E40A75D4C33DDCF4240",NULL
46,NULL,"0101000020E61000000C48B192C581504010255AF278C04240",NULL
47,NULL,"0101000020E6100000B4603D4915675040C2A96ADD61D34240",NULL
48,"Uralka","0101000020E6100000B7836CB477C64F405776C1E09A8E4340","Uralka"
49,"Kosmos","0101000020E61000009C3061342B2C4D40FDDCD0949DFA4240","Kosmos"
50,"Bagtyýar Zaman","0101000020E6100000269AF68370FA4D40C009850838E84440","Bagtıyar Zaman"
51,"Hankäriz","0101000020E6100000230E7E8747CD4C4073BED87BF1264340","Hankeriz"
52,"Gökdere","0101000020E61000006D5DC53DF1024D4039D2191879FD4240","Gökdere"
