"id","name","geom","nametr"
1,"Paraw Bibi","0101000020E61000007C26FBE769074C40C597E4DB16844340","Parav Bibi"
2,"Bamy","0101000020E6100000B123C44B26664C40A098068F805D4340","Bamı"
3,"Bereket geňeşligi","0101000020E6100000F6F301DC87CF4E40AAAE8DC23FE94240","Bereket gengeşligi"
4,"Ýarajy","0101000020E61000006DECC84741D74C403EBFDEB364244340","Yaracı"
5,"Ýasga","0101000020E6100000AA87C32D7AC74B40994C7045BDDA4340","Yasga"
6,"Durun","0101000020E61000005936CE01DDBB4C40C185E1C8A8324340","Durun"
7,NULL,"0101000020E610000069B812CB77EF4B40CB90195EFF8E4340",NULL
8,"Gazanaryk obasy","0101000020E610000050076811401B50400798F90E7E2E4340","Gazanarık obası"
9,"Gumpetde","0101000020E6100000D236FE44658750402EC6C03A8EBB4240","Gumpetde"
10,"Hanýap","0101000020E6100000EB048FCAA89F4E401955867137384240","Hanyap"
11,"Etbaş","0101000020E61000006D33BA281F1E5040BC7A15191D1E4340","Etbaş"
12,"Megejik","0101000020E6100000D1C952EBFD8A50400D987620A1B74240","Megecik"
13,"Madaw","0101000020E610000009BBCDC06D5F4B400776A15E95114340","Madav"
14,"Ata","0101000020E6100000267F411C35884E401C5833D70E6A4240","Ata"
15,"Hasyl","0101000020E61000003FE7C9903E045040A33AC20E08444340","Hasıl"
16,"Gojaly","0101000020E6100000D87E32C687914F40CB64389ECFDE4140","Gocalı"
17,"Kulyýewa adyndaky","0101000020E61000000D8CBCAC897F4F40EB54F99E91A84340","Kulıyeva adındakı"
18,"Krançoba","0101000020E6100000713AC95697B34F40399D64ABCBA54340","Krançoba"
19,"Gulançy","0101000020E610000061FC34EECDE34F40CDCCCCCCCC7C4340","Gulançı"
20,"Awçy","0101000020E6100000EBED85B828F44F4063FB7F8B046B4340","Avçı"
21,"Çaloýyk","0101000020E61000004006E1C09A294B40A5B27279BDB44240","Çaloyık"
22,"Şahman","0101000020E610000033E774B4053B4B40BA70D696F0334340","Şahman"
