"id","name","geom"
1,NULL,"0101000020E610000017201B92A4553F406918E36833814240"
2,"Seyricik Yaylası","0101000020E61000006A0CDF67011E4040EDBCE886016C4240"
3,"Kozağacı","0101000020E6100000E95212C8DB363E40A64D8BB097464240"
4,"Göllü Yaylası","0101000020E61000000AE35DE454593E40102D6810D5404240"
5,"Söğüt Cuması","0101000020E61000007615F7C4DF5F3E400E4C6E1459584240"
6,"Küçükpınar","0101000020E6100000A971CA3736443E4072A83A3F205D4240"
7,"Karayalak Vadisi","0101000020E6100000E137CF22258E41405D26796462E94240"
8,"Aktütün","0101000020E610000095568D6F392846402DA2DC6C629F4240"
9,"Eski Porsuk","0101000020E61000005FFDE95097484140CE59FA2BBFC44240"
10,"Yukarı Kavrun Yaylası","0101000020E61000001615713AC990444045DF933DF8704440"
11,"Ayder","0101000020E6100000EC432800108D444058A3682FEC794440"
12,"Olgunlar Yaylası","0101000020E61000000FAE2589CA9E444067A906ABFB6D4440"
13,"Galer","0101000020E610000036188FF74F924440C3C771F101774440"
14,"Yukarı Dombaylı","0101000020E6100000C3EEE0CC54553C4043610619B74B4340"
15,"Kapçıl","0101000020E6100000BE65F3DD52C442405B7DD00E13AD4340"
16,"İnönü Yaylası","0101000020E6100000145B41D312033E40FAD2DB9F8B494440"
17,"Arpalık Düzü Yaylası","0101000020E6100000C852358B618F41405529E219D9EC4240"
18,"Oba Yeri Yaylası","0101000020E61000000E982C9386954140FBB0DEA815EC4240"
19,"Kırca Yaylası","0101000020E61000009C42F861CE393E40247CEF6FD04B4440"
20,"Karagöl Yaylası","0101000020E6100000921BEA1CA8923E4009F42E83D6404440"
21,"Acelle Yaylası","0101000020E610000006BAF605F4A03E40ADA7565F5D424440"
22,"Sultanpınar Yaylası","0101000020E610000082BA922E47A93E40DF26ED574B414440"
23,"Susuz Yayla","0101000020E61000003BA01111A3E63E40D388997D1E434440"
24,"Kocayayla","0101000020E61000002E1796E425443D40AEB25B70ABF74340"
25,"Çiğdem Yaylası","0101000020E61000002C7304BA40DB3E40CA7443AE2F534440"
26,"Aveçur Yaylası","0101000020E6100000A59F70766B984440D80B056C077A4440"
27,"Yukarı Deveören Yaylası","0101000020E610000096218E7571D93F40676E7484C2444440"
28,"Düvenlik Yaylası","0101000020E6100000C5984FB1C5C33F4032CB9E0436584440"
29,NULL,"0101000020E6100000A8EAD44B42B5434049939C5D084E4440"
30,"Akıncı","0101000020E61000000318E0CCF9B34340372C5789C3514440"
31,"Kuruköy","0101000020E61000000C3CF71E2E25464041A9AC5C5EC44240"
32,"Dilaver Yaylası","0101000020E61000009ED9098A7AD84340DF043AEEEF4E4440"
33,"Taşköprü Yaylası","0101000020E61000008322CCA3D1E443402EDE3422BD4C4440"
34,"Taşlı Yayla","0101000020E61000006BC6585CD20744405D4CD82379514440"
35,"Çataldere Yaylası","0101000020E610000054104DEA153C4440B4B6DF90FC3F4440"
36,"Anzer Yaylası","0101000020E61000008EA78A4E3B4244401C66C3F5834A4440"
37,"Çağrankaya Yaylası","0101000020E61000007CC8A53B99524440E35E4F2AD0694440"
38,"Eğnaçor Yaylası","0101000020E6100000BB4967BB9D644440EE87E98C39644440"
39,"Görgit","0101000020E610000074BE8EEED6F94440C8748D3B4AAD4440"
40,"Gölayağı","0101000020E610000088653387A4A1424072AA10EA7D374440"
41,"mezra","0101000020E610000068322DFBBF4544405CBBA3B5588B4240"
42,"Bayat","0101000020E610000082BBFD03F6154240E5284014CC8E4440"
43,"Suboyu","0101000020E61000006A3D320C0EFA42407912222A9E7F4240"
44,"Yeşiloymak","0101000020E6100000328111EAD80B4240BD6B75DE6BCD4340"
45,"Bağözü","0101000020E6100000EEF8E582E90F41407477425486494440"
46,"Asma","0101000020E6100000FD0AE3B89D1B4140905DB3A6C34E4440"
47,"Adamkaya","0101000020E6100000EEA309CA23374240E00ED4298F994340"
48,"Meryemçil","0101000020E61000005BB22AC24D354240D0E91E7EA3ED4240"
49,"Sofular Yaylası","0101000020E610000036012B2C5D25424013437232717F4240"
50,"Çevreli","0101000020E6100000EA0B7CA070CA424034C0609225B04240"
51,"Aşağısöğütlü","0101000020E6100000C7BD54C785E94240B087403F9DC04240"
52,"Kızılcamustafa","0101000020E6100000038DE3D1D70A43408495AF7037D04240"
53,"Zormağara","0101000020E61000004BDDDFEA4A074340BED3090D69C04240"
54,"Balka","0101000020E610000010994DDB1A0B43407FDF1A33E4C94240"
55,"Karakeçi","0101000020E6100000A0145223990C4340B72407EC6AC64240"
56,"İznik","0101000020E6100000C143071335F64240436678FD93C84240"
57,"Demiroğlu","0101000020E61000009EC9A3C0A7E64240BE8AE7C7BADC4240"
58,"Akça Höyük","0101000020E6100000B5E8F8C32ACC42401B2C9CA4F96F4240"
59,"Yenice","0101000020E610000039A231491BCE4240C416CCA9AE6E4240"
60,"Karahasan","0101000020E6100000F4C87AC5AED942404E428E52AE6D4240"
61,NULL,"0101000020E6100000F702B34291CB42409CC47B69E5634240"
62,NULL,"0101000020E61000000292FAFC41BD424063F261516C734240"
63,"Seyfoğlu","0101000020E6100000D24A6B1D66DE42402C5217DF06704240"
64,"Cinfelek","0101000020E61000006C3EAE0D15DE4240C323963902714240"
65,NULL,"0101000020E6100000FA073653C6DD4240CD508138B4614240"
66,"Hacıfakılı","0101000020E6100000C80CAF7F32E14240E36833F389624240"
67,"Arıtaş","0101000020E610000047342669A3FE4340E5DB717962E54340"
68,"Deliktaş","0101000020E61000001189E71148DA4340EB4669801CF14340"
69,NULL,"0101000020E61000009A779CA223C54340594FADBEBAEE4340"
70,"Balpayam","0101000020E61000003F840200110844409A1B1DA1B0B54340"
71,"Aydınlar","0101000020E61000004C7155D977F44340228326D3B2B64340"
72,"Dedebağ","0101000020E610000095D97B4CFFF2434074999A046F804340"
73,"Tavşantepe","0101000020E6100000CEB6E402E1694440AA07718A331D4340"
74,"Kuşdamı","0101000020E61000006A9A1CE32F6144406C97361C96214340"
75,"Bozyen","0101000020E610000051346A1904044440EBFEB1101D204340"
76,"Yusufağa","0101000020E61000005C85DE2C6F024440AFE13323CD144340"
77,"Karasu","0101000020E61000004FADBEBA2A3B4440E03EBCF8ECCA4240"
78,"İkizoluk","0101000020E6100000C279820E04374440398A62A879D74240"
79,"Hasırlı","0101000020E6100000067987252F3B444026A94C3107DB4240"
80,"Alper","0101000020E610000000411427526B44400D3DBDAD4FE14240"
81,"Aşağı Kılavuztepe","0101000020E6100000D57EC6E0BC554440AF5A99F04BE04240"
82,"Çayırlı","0101000020E610000044A2D0B2EE70444073BE333564D54240"
83,"Salamet","0101000020E6100000E8397D9818644440A8A55E5C4FD94240"
84,"Yarımca","0101000020E6100000880A7A1453D144407434FDC863BB4240"
85,"Ağaçlı","0101000020E61000007C69E5B919DB44409ED0EB4FE2B54240"
86,"Kavak","0101000020E6100000D712F241CFBB444000B3D6AB23D54240"
87,"Muratlı","0101000020E6100000670A9DD7D8924440AC25789ED3DA4240"
