"id","name","geom"
1,"Güzeltepe","0101000020E610000041B8020AF5643D40A4E194B9F9684440"
2,"Kale","0101000020E61000000249D8B793DC3D40F4C9E59A5D184240"
3,"Çıralı","0101000020E610000078BA4E7EE6793E4029C9DF62EA334240"
4,"Derbent","0101000020E6100000A8AAD0402C933E40D3286E26F0D04340"
5,"Sinanpaşa","0101000020E61000000F327F3B3F013D40BBAAFDE77A854440"
6,"Çataldere","0101000020E61000002C1D627259FD3D4033B044566D554440"
7,"Aytepeköy","0101000020E6100000D1A5C9D644F23D4037E4FAD2364D4440"
8,"Sungurlu","0101000020E6100000E9D7D64FFFDD3D408B32C0AA1F8A4440"
9,"Kemalli","0101000020E6100000F0575C774EC43D40D9C57E60D88C4440"
10,"Evrenli","0101000020E610000022669BC019C33D40983C5409058D4440"
11,"Kayalar","0101000020E61000009A6CF24A48DC3D40D6A5EB2EF56E4440"
12,"Erikli","0101000020E610000031557AB7C3C63D40350D8AE601684440"
13,"Sultaniye","0101000020E6100000A3FC492135BC3D4034D021156B4C4440"
14,"Kırkhamam","0101000020E6100000FB13A639C3C23D408F9C9669454B4440"
15,"Manşar","0101000020E6100000048761D1BEBD3D40920DFF44C08E4440"
16,"Hersek","0101000020E61000002827DA5548813D40182FCCF8AD5C4440"
17,"Fevzi Çakmak","0101000020E6100000D196CEE220843D409684FA4CAC464440"
18,"Adanda","0101000020E610000094258458473840406B60AB048B1D4240"
19,"Gedeller","0101000020E6100000BC0DC57828873E4082829C418D674240"
20,"Gökçay","0101000020E6100000B53D3036630F3F406C6578A2DA7D4240"
21,"Kocamehmetler","0101000020E610000093D5BECAEB063F40AF7F3221418E4240"
22,"Seki","0101000020E61000007A803859B4583F400139BC7BDB6F4240"
23,"Korucak Yaylası","0101000020E6100000DD0C9299660C40407DF43C6EAE694240"
24,"Çamiçi","0101000020E6100000FC2D4B85C23740406A6B44300E684240"
25,"Yukarı Beymelek","0101000020E6100000F45FD67A750A3E4018361488E8244240"
26,"Çatallar","0101000020E61000008FB16E17F5123E403682435EC53E4240"
27,"Beğiş Susuzu","0101000020E61000001DCBBBEA013D3E40C4D78D2DBA7C4240"
28,"Karaşar","0101000020E6100000A911FA997A553E403DFD56A1373E4240"
29,"Karabük","0101000020E61000000C512A8650443E40D75647E92D424240"
30,"İmecik Susuzu","0101000020E61000005A619FA5D0403E40D0BAA184F4764240"
31,"Çerdin","0101000020E610000037C30DF8FC623E40451E77007A254240"
32,"Yenbey","0101000020E610000046D8A667306E3E40DA8D3EE603354240"
33,"Yaylakuzdere","0101000020E61000006F5DD669496C3E404B523EA99B494240"
34,"İsalı","0101000020E610000037A6272CF11040401AE65F26E5944240"
35,"Akbel","0101000020E610000008DB995313683D40806264C91C244240"
36,"Saray","0101000020E61000006743A3E0CE5E3D407E2F2A4E5A0A4440"
37,"Pabuçluçayır","0101000020E6100000AC7DF090185F3D40D2AE9D83C20B4440"
38,"Ardıç","0101000020E61000001D9F7F715F9B3A40FC20263CFC434340"
39,"Izne","0101000020E6100000DE8893A064913D40134DFB41B81C4240"
40,"Altınova","0101000020E6100000154BDB09403441404723FA10AFF94240"
41,"Akbaş","0101000020E6100000487E0E3D73384140E9ED748CD0F94240"
42,"Kozagaç","0101000020E6100000B6D8EDB3CA6E3D40B2193B3CDF2C4240"
43,"Çavdır","0101000020E61000004D327216F6843D4066F107A815384240"
44,"Eskiköy","0101000020E6100000E013EB54F94E3D40465387269A354240"
45,"Çataltepe","0101000020E61000005C4E531564473D400BFCF21318304240"
46,"Kartın","0101000020E6100000739B15F659B23D408C118942CB1D4240"
47,"Karacasögüt","0101000020E61000004E7A843F68303C404B6540ACED774240"
48,"Sarıgöl","0101000020E61000000951BEA085BF44400C87EF0E3A7A4440"
49,"Boyalı","0101000020E6100000CF0AB19F6A4440407973B8567B9E4240"
50,"Koçaş","0101000020E610000077F0B84D5D4A404052E053EF5F9F4240"
51,"Salihleraltı","0101000020E61000000E2A166470D13A40A5DB12B9E0944340"
52,"Ovacık","0101000020E6100000668F06A689B73C40B7651B13BD604240"
53,"Menzil","0101000020E61000007B6649809A5F40405704FF5BC9B44240"
54,"Yayla","0101000020E6100000758B659F6C5F4040BF92F5E516B44240"
55,"Otluca","0101000020E6100000B39F200C97914040CBEA67FBA1C94240"
56,"Dereköy","0101000020E6100000C70DBF9B6E5941406F5FAC14A7A64340"
57,"Topayın","0101000020E610000067542AF235434140A6FE8BB15D724340"
58,"Yukarı İlicek","0101000020E6100000A8024933714E41405F3F694D987E4340"
59,"Bucaklı","0101000020E61000000CEA5BE674654140A72ECF392E734340"
60,"Ovacık","0101000020E610000058AB764D48273D40039DA4541D4A4240"
61,"Karalar","0101000020E61000000DE36E10ADA14140D0F643C769994240"
62,"Muradiye","0101000020E61000002849D74CBEFF3C405D4D43F927864440"
63,"Dikilitaş","0101000020E6100000E6E61BD13D013D405F56725F18874440"
64,"Ulus","0101000020E61000005C2C561EEE063D40EE9E97E546884440"
65,"Üçbaş","0101000020E6100000FC82273E889A3E40711BB226BBAB4340"
