"id","name","geom"
1,"İskenderun","0101000020E6100000A9BAEC7CE4154240591D948B8C4B4240"
2,"Adapazarı","0101000020E6100000200E6D5BEF663E4072B7353344634440"
3,"Eğirdir","0101000020E6100000BA75EDC15AD93E40EB0BD759E3EF4240"
4,"Keçiborlu","0101000020E6100000DF156646E44C3E40E99216D3F1F84240"
5,"Havsa","0101000020E6100000E0C3808010D23A40C54840964FC64440"
6,"Keşan","0101000020E61000007EFBDFB65BA13A4081C355AF6C6D4440"
7,"İpsala","0101000020E6100000C1ABE5CE4C623A40C741AE79FA754440"
8,"Bakırköy","0101000020E6100000609D19B3DBDF3C405B441493377D4440"
9,"Büyükçekmece","0101000020E610000088A06AF46A943C40EEE9EA8EC5824440"
10,"Fatih","0101000020E61000000DE9A683ABF23C408128F3EA77824440"
11,"Küçükçekmece","0101000020E6100000B0D128136DC53C409AA1A7B7F57E4440"
12,"Zeytinburnu","0101000020E6100000305E98F15BE73C40FD78F9E7B37E4440"
13,"Üsküdar","0101000020E6100000AB9E82B2DF033D40905BDDFB65834440"
14,"Babaeski","0101000020E61000007EF66DD27E173B40C15CE6CF12B74440"
15,"Gebze","0101000020E6100000F67D3848886E3D40617369577C664440"
16,"Çerkezköy","0101000020E610000006668522DDFF3B40FAC4F0C7A3A44440"
17,"Çorlu","0101000020E61000006D7F1DEED9CD3B40E8D9ACFA5C944440"
18,"Kâğıthane","0101000020E6100000A103818417F93C404953F30B658A4440"
19,"Esenyurt","0101000020E6100000DA232FC61BAE3C4020DA7D7D63844440"
20,"Nazilli","0101000020E61000001229722DFF523C4096BF31BA72F44240"
21,"Gerede","0101000020E6100000B4024356B7194040F2C2E7983D664440"
22,"Kızılcahamam","0101000020E61000006A7EA1ECD2524040FB18BD642D3C4440"
23,"Safranbolu","0101000020E61000004B02D4D4B2584040725F18FA719F4440"
24,"Amasra","0101000020E6100000A7FF51407F31404077F35487DCDF4440"
25,"Kurucaşile","0101000020E610000019E835D1425C4040B0F4EB9804EC4440"
26,"Doğanyurt","0101000020E61000002C5ACA43F0BA404055FA0967B7004540"
27,"İnebolu","0101000020E61000008450398144E140400292FAFC41FD4440"
28,"Abana","0101000020E610000013776110FD0041408C0BAC883FFD4440"
29,"Çatalzeytin","0101000020E61000001711209E801C4140B37C5D86FFF94440"
30,"Türkeli","0101000020E61000003AD8518B772B4140E62329E961F94440"
31,"Gerze","0101000020E610000064DFBA078D99414012AFA18AD1E64440"
32,"Yakakent","0101000020E61000006572C5200BC44140F8BA568C04D14440"
33,"Alaçam","0101000020E6100000056FA35C75CC41406CD102B4ADCD4440"
34,"Bafra","0101000020E6100000456FA76384F341403288B43286C84440"
35,"Eynesil","0101000020E6100000DD4BD0155B92434035796FB147884440"
36,"Görele","0101000020E6100000178046E9D27F4340981E03684A844440"
