"id","name","geom"
1,"Toshkent","0101000020E6100000C2E8A859D651514044EDC8A2FAA74440"
2,"Buxoro","0101000020E6100000C6B7C19A141B504098B9652C3FE24340"
3,"Olmaliq","0101000020E61000003C3A64B9DB665140AF230ED9406C4440"
4,"Chirchiq","0101000020E6100000A54DD53D32655140BF89D7AB7EBC4440"
5,"Guliston","0101000020E6100000E0A128D0A731514079B537537C3F4440"
6,"Samarqand","0101000020E6100000E4761ECB71BE504086298018D7D34340"
7,"Qarshi","0101000020E610000052FCCEE5BC725040AD32535A7F6B4340"
8,"Urganch","0101000020E610000008CBD8D0CD504E4001608610A1C64440"
9,"Nókis","0101000020E6100000CE44227E0FCF4D409E74C707E23A4540"
10,"Farg'ona","0101000020E6100000648CB4F9A4F251407CEB68C130304440"
11,"Namangan","0101000020E6100000B8E0B1440CEB5140AD40E378F47F4440"
12,"Termiz","0101000020E61000001A355F251FD250406094FB78439F4240"
13,"Kogon","0101000020E610000085121C4DE422504088FB2367BCDC4340"
14,"Muborak","0101000020E61000006FF7CD580F4A5040DECA129D65A14340"
15,"Gʻuzor","0101000020E610000005B28D2E25905040C265BA7C904F4340"
16,"Denov","0101000020E6100000B73A4A6F49F950400384C5973F234340"
17,"Jomboy","0101000020E61000005C6045FC79C6504083763D87E8D84340"
18,"Kattaqo'rg'on","0101000020E6100000656AB7022F915040211109956EF34340"
19,"Urgut","0101000020E6100000E1647671F6CF504063A131EE61B44340"
20,"Yangiyer","0101000020E6100000D27DEF254334514062FB24D291224440"
21,"Angren","0101000020E61000007D16951E17855140C63F225CB7824440"
22,"Yangiyo'l","0101000020E6100000A17F27D2A24351404913EF004F8F4440"
23,"Nurafshon","0101000020E6100000909D5CF8E6565140A8BDD2437E854440"
24,"Qo‘qon","0101000020E6100000FB850D05A2BC5140D05499733A454440"
25,"Marg'ilon","0101000020E61000000CB1FA230CEE5140EEB43522183C4440"
26,"Quvasoy","0101000020E610000035EB8CEF0BFF5140BBE70A009F254440"
27,"Xojeli","0101000020E6100000F86C1D1CECB94D403D748B0AE6344540"
28,"Zarafshon","0101000020E61000008EE0EB10240D504009ED8B3A29C94440"
29,"Navoiy","0101000020E6100000A2C6CE25E657504063C0481E3E0D4440"
30,"G'ijduvon","0101000020E610000062CB3C03B42B504036316EB42D0D4440"
31,"Nurota","0101000020E6100000777984E42E6C50404FACF82B09484440"
32,"Andijon","0101000020E61000006DA2E073711652404EF5BFB744644440"
33,"Asaka","0101000020E610000051DD5CFCED0F5240A86E2EFEB6524440"
34,"Shahrixon","0101000020E6100000E0206B57B20352409107C7D1C15A4440"
35,"Dashtobod","0101000020E61000006580553F801F51405A5E5E25C4104440"
36,"Shofirkon","0101000020E6100000232AF97D242050405F20ADD62E0F4440"
37,"Romitan","0101000020E6100000E2C0F572691850404274AD6296F74340"
38,"Ishtixon","0101000020E6100000E52C4723FA9E504089450C3B8CFB4340"
39,"Qorako’l","0101000020E61000004526851ED6EB4F40087E0A3664C24340"
40,"Vobkent","0101000020E6100000A5338BAB25215040146DD800B6024440"
41,"Uchquduq","0101000020E610000064FE767EF6C74F40269EFD929E134540"
42,"Jizzax","0101000020E6100000BC30E3B7B2F45040DCFE4B080C114440"
43,"Bekobod","0101000020E610000057F20C7533505140331C2A21B31D4440"
44,"Shahrisabz","0101000020E6100000A9818BBAFBB4504071ED9F02BB864340"
