"id","name","geom"
1,"Янгиобод","0101000020E610000026C9CE3612C051407182250D246B4440"
2,"Mirishkor","0101000020E61000000A9FAD8303E451406D97EC8E7B7A4440"
3,"Birlashgan","0101000020E6100000BFFEDAB05CFB5140BBE188FF85884440"
4,"Radivon1","0101000020E610000053C83AC123EC5140DE58501894934440"
5,"Dehqonobod Tumani","0101000020E6100000A39410ACAAAA5040BBD6DEA7AA2A4340"
6,"Troitsk","0101000020E610000084F57F0EF362514031186D9F9FB74440"
7,"Akkavak","0101000020E6100000E17D552ED46351400FE95CF690B84440"
8,"Barraj","0101000020E610000090F7AA95896F5140B1868BDCD3C84440"
9,"Chingildi","0101000020E610000077FDDD96235C5140E77926EABBAA4440"
10,"Kiyat","0101000020E61000007121EA99395B514067F6D44565A44440"
11,"Shur-Ob","0101000020E6100000760B6EB518C3504039549D1F90B34240"
12,"Novdak","0101000020E6100000DFA0624186705140E7CEA7E90E984440"
13,"Янгиабад","0101000020E6100000D3ED36B929C45040F830202004B44240"
14,"Loyliq","0101000020E6100000F532E59E09BD5040C1583A7A57DC4240"
15,"Chilyansor","0101000020E61000004E58874872C2504043BB54B659F84240"
16,"Batmabuloq","0101000020E610000010E09975EBCE5040FFFC080D0E064340"
17,"Тиллякамар","0101000020E61000000BB77C24A5C15040CB31B495F20A4340"
18,"Ляылякан;Нагай","0101000020E610000060B6F86FB9BA504027405E59B3F74240"
19,"Ходжабулган","0101000020E6100000D50F45DC77C2504067367E97080E4340"
20,"Туман-Курган","0101000020E6100000B3EA18FCA2CC504095DB51F75C134340"
21,"Подан","0101000020E6100000CBE1EE0717D050405850BDDAF61B4340"
22,"Chinor","0101000020E6100000E45CD438E5E650409135D9F5C1254340"
23,"Абишхан","0101000020E6100000637C98BDECBE5040838EB16E17354340"
24,"Кайрак","0101000020E6100000678D8BB49ED35040760536429A274340"
25,"Тода","0101000020E6100000B65E1D111DC95040A89DABF7651C4340"
26,"Бадава","0101000020E6100000D1F2F22AA1E650409C37A9C365284340"
27,"Дугоб","0101000020E61000006281542FE4C25040F6B6990AF1384340"
28,"Shotut","0101000020E6100000C0D1E9D470D850409C05909037314340"
29,"Даганаджам","0101000020E61000008BF1AB83CDC25040E6DE0DB3E1124340"
30,"Ауджин","0101000020E61000003B70CE8852B95040C6151747E5324340"
31,"Джиничка","0101000020E61000004025F8F076B7504091BA9D7DE5284340"
32,"Ойбарик","0101000020E61000008EB7F0170EEE50403659A31EA22B4340"
33,"Xouz","0101000020E6100000317E1AF7E6E1504085EB51B81E254340"
