"id","name","geom"
1,"Ko'kcha","0101000020E610000093D1B7BB3D4D514068B3EA73B5A94440"
2,"Kamolon/Yangikamolon","0101000020E61000009A01D30EA44E514059E3C7F374A74440"
3,"Darvoza","0101000020E6100000DA194BFDE14D5140193268322DAA4440"
4,"Bog'ko'cha (C-27) dahasi","0101000020E6100000CE80C4C0044E51400FBD207DEEA94440"
5,"Aklan","0101000020E610000074AD6296624D51402C6112D32AA84440"
6,"Tezikovka","0101000020E6100000646314BA81515140DAA7887890A34440"
7,"3-kichik daha","0101000020E6100000CCA9AE8DC2165240C58954BDA15F4440"
8,"Mustaqillik","0101000020E61000006E8786C5285651403B376DC669BA4440"
9,"Qorasuv","0101000020E61000009EEA35E26EB75040B06AB52C04874340"
10,"Choshtepa","0101000020E6100000DCBF0D8C17B4504069BB534B84834340"
11,"Birlik","0101000020E6100000FD683865EE4951402EE7AD15C8A54440"
12,"Boshliq dahasi","0101000020E6100000D34F937428505140742F8BE486A24440"
13,"Qushbegi dahasi","0101000020E61000004C18CDCA764F5140A5AFD63F3EA24440"
14,"Chilonzor 11 mavzesi","0101000020E610000039245A973F4C5140590927B38BA34440"
15,"Chilonzor 18 mavzesi","0101000020E6100000F8F24C793E4C5140C8B7770DFAA24440"
16,"Chilonzor 9 mavzesi","0101000020E6100000CF3758EEBB4C51402B93D04CE6A44440"
17,"Chilonzor G 9A mavzesi","0101000020E610000051A5660F344C51402F6F6990DDA44440"
18,"Chilonzor 13 mavzesi","0101000020E6100000D858D306F14B51400D175EEE38A54440"
19,"Chilonzor 14 mavzesi","0101000020E6100000DBC8D00C3D4C514078E45993B8A54440"
20,"Chilonzor 15 mavzesi","0101000020E6100000104647CDB24B514083C9E8DBDDA54440"
21,"Chilonzor 21 mavzesi","0101000020E6100000009F69D3224B5140EFB6C13F5BA54440"
22,"Chilonzor 10 mavzesi","0101000020E6100000B63984E0A74C5140390A100533A44440"
23,"Chilonzor 12 mavzesi","0101000020E6100000B905A62EF44B51405D305D2D1CA44440"
24,"Yangiobod dahasi","0101000020E610000064D1CF2FA5565140AD591DEF44A24440"
25,"Chilonzor 23 mavzesi","0101000020E61000009B705413694B514094C38256BBA44440"
26,"Yuqori Beshkurgan mahallasi","0101000020E61000001E6BEB4CC64C51403476D377C8AF4440"
27,"Nihol mahallasi","0101000020E61000003BAD365A694D51401F1A715C21B04440"
28,"Qoraqamish 2/1 dahasi","0101000020E61000000FD594641D4E514014090154CCAD4440"
29,"Qoraqamish 2/3 dahasi","0101000020E61000009D45949BCD4D514014AEEC2708AF4440"
30,"Qoraqamish 2/4 dahasi","0101000020E610000008A3A366594D51400112F2E615AF4440"
31,"Qoraqamish 2/5 dahasi","0101000020E610000063450DA6614D5140C235D2AD32AE4440"
32,"Olimpiya dahasi","0101000020E6100000B6A0F7C6904C51407E6E68CA4EAE4440"
33,"Shimoliy Olmazor","0101000020E6100000DCEA837618505140D415C7DC10AD4440"
34,"Beshqo'rg'on 1 dahasi","0101000020E6100000A88F1BD9F04C514056F2B1BB40AF4440"
35,"Beshqo'rg'on 2 dahasi","0101000020E61000001C06989ED54C5140CB10C7BAB8AE4440"
36,"Beshqo'rg'on 3 dahasi","0101000020E610000084EA30708A4C51400796236420AF4440"
37,"Beshqo'rg'on 4 dahasi","0101000020E6100000E083D72EED4C5140835C983BE9AE4440"
38,"Chimboy dahasi","0101000020E6100000362CFCCFD04C51405F13888D68AE4440"
39,"Yangi Toshkent mahallasi","0101000020E61000009D37047D584E51404F0E55E707AF4440"
40,"Talabalar shaharchasi","0101000020E610000050CAFF3F294D514083CAAE6AFFAC4440"
41,"Beruniy 3 dahasi","0101000020E610000038729307D84D5140EB83769840AB4440"
42,"Gulobod (C-26) dahasi","0101000020E6100000CF882D98534E51408C5539A39CA94440"
43,"Abu Ali ibn Sino-1 dahasi","0101000020E61000007E09CB8EC34A514029FC636BC7AA4440"
44,"Abu Ali ibn Sino-2 dahasi","0101000020E6100000DDF52DCEF34A5140717731282EAB4440"
45,"Beltepa dahasi","0101000020E6100000FF356ACFF64A51406A3E9DE1BCAB4440"
46,"JARARIQ","0101000020E6100000EDBC8DCD8E4B51404089CF9D60AB4440"
47,"Sebzor (C-17/C-18) dahasi","0101000020E6100000BD2FD39BF64F5140D2BA57F7D9AA4440"
48,"Chimboy mahallasi","0101000020E6100000721019FB374E51400E10711871AC4440"
49,"Qoraqamish 1/2 dahasi","0101000020E61000001717A29E194F5140FF8DE2C1BBAD4440"
50,"Qoraqamish 1/3 dahasi","0101000020E61000002E933C32B14E5140BB59283EE3AD4440"
51,"Beshqayrog'och","0101000020E610000051099975104A5140A675656199A64440"
52,"O'rikzor","0101000020E6100000D13C8045FE48514048090B3895A44440"
53,"Bekobod dahasi","0101000020E6100000BD5BB45BA64A51401AEA663513A94440"
54,"Oq Tepa","0101000020E610000048991E5EA14D51408B879C63E5A64440"
55,"Chilonzor 30 mavzesi","0101000020E6100000EA5910CAFB495140CE39782634A24440"
56,"Chilonzor 31 mavzesi","0101000020E61000000CC39151AF495140CA8168F7F5A14440"
57,"Sharq","0101000020E6100000C491AC68984A51402F76B11F18A24440"
58,"Al-Horazmiy 1 dahasi","0101000020E6100000CE9FDBF0E0495140BC6F213427A14440"
59,"Chilonzor 19 mavzesi","0101000020E6100000A00A6E5ADF4B51404B123A9E85A24440"
60,"Chilonzor 20 mavzesi","0101000020E61000005DCBBFF1904B5140A49AA3D81BA24440"
61,"Chilonzor 25 mavzesi","0101000020E6100000F8962831BE4A514012DDB3AED1A34440"
62,"Mevazor mahallasi","0101000020E610000088197508774C5140D2AC6C1FF2A14440"
63,"Chilonzor 16 mavzesi","0101000020E6100000E0E70995C94C5140B9FB1C1F2DA34440"
64,"Chilonzor 17 mavzesi","0101000020E61000007C0DC171994C514080773C77CCA24440"
65,"Chilonzor 20A mavzesi","0101000020E6100000B29135342F4C51403151CE6108A24440"
66,"Chilonzor C mavzesi","0101000020E6100000A18BE1453A4D5140A6B4FE9600A44440"
67,"Beshyog'och dahasi","0101000020E6100000AFA18AD1294F51406BE56F8CAEA74440"
68,"Charx Komolon-3 mahallasi","0101000020E61000003B29DDA7F44D51405590550042A64440"
69,"Chilonzor 7 mavzesi","0101000020E61000009C99AAC5714D51403B23A534F6A54440"
70,"Chilonzor 8 mavzesi","0101000020E6100000DE1335E2134D5140343CAC263EA54440"
71,"Koh-Ota mahallasi","0101000020E6100000EFFFE38489505140505436ACA9AA4440"
72,"Jangoh (C-15) dahasi","0101000020E6100000093543AA285051409BEA24B616AA4440"
73,"Labzak (C-13) dahasi","0101000020E61000002D1FEE8F9C5051400B4B9759DFA94440"
74,"Chorsu mavzesi","0101000020E6100000BA0A73CCC34E51409D966945E5A84440"
75,"Minor (C-6) dahasi","0101000020E6100000B9C32632F351514011678F615FAA4440"
76,"Oloy (C-2) dahasi","0101000020E6100000BBC9B95E6452514026B8A2DE9DA84440"
77,"Buyuk Ipak Yo'li (C-1) dahasi","0101000020E61000000A74DCDF8F5251404613DED4F6A74440"
78,"Qashg'ar (C-4) dahasi","0101000020E6100000164ED2FCB15151409CD035DDFCA84440"
79,"Oqtepa","0101000020E6100000CA1BBB9FAE545140ED8ACF53D3AE4440"
80,"Qizildehqon mahallasi","0101000020E610000032E9EFA5F0535140E22EB1E88CB04440"
81,"TashGRES dahasi","0101000020E610000005A96FF48C555140F4DE180280AD4440"
82,"Yunusobod 10 mavzesi","0101000020E6100000D201A4912A525140116F9D7FBBB04440"
83,"Yunusobod 12 mavzesi","0101000020E6100000DE82B6E6D8525140FEFCAD539BB04440"
84,"Yunusobod 15 mavzesi","0101000020E61000002849D74C3E53514021C610A562B04440"
85,"Yunusobod 17 mavzesi","0101000020E6100000055A70F5D2535140E4EF8398F0AE4440"
86,"Yunusobod 18 mavzesi","0101000020E6100000F89C05EB4954514097D013854CAF4440"
87,"Yunusobod 19 mavzesi","0101000020E61000006B5BDE663B54514081423D7D04B04440"
88,"Yunusobod 9 mavzesi","0101000020E6100000B2666490BB5151404B5B5CE333B04440"
89,"Yunusobod 5 mavzesi","0101000020E6100000C6A354C2935151405439ED2939AE4440"
90,"Yunusobod 2 mavzesi","0101000020E6100000C7F2AE7A40525140F1D8CF6229AE4440"
91,"Yunusobod 11 mavzesi","0101000020E61000001CCB60318F5251403C29386167AF4440"
92,"Yunusobod 3 mavzesi","0101000020E610000020860C9ACC52514003498E2A79AE4440"
93,"Yunusobod 6 mavzesi","0101000020E610000077555689E85051404969914836AF4440"
94,"Yalang'och dahasi","0101000020E6100000FE9F1E36EC5551407760A527D1AC4440"
95,"Yunusobod 14 mavzesi","0101000020E6100000EADD697C705351400146E1C4A1AF4440"
96,"Yunusobod 16 mavzesi","0101000020E610000085E920544E5351402F50526001B14440"
97,"Aviagorodok-22 dahasi","0101000020E6100000652F8095E8535140FA57A027AFA64440"
98,"Rioziy dahasi","0101000020E610000009089C5BD75451403CC2C47AFEA74440"
99,"Qoshqo'rg'on","0101000020E61000005070B1A286515140581EA4A7C89F4440"
100,"Qo'yliq markaz mavzesi","0101000020E61000006F826F9A3E555140C1DC932CCC9E4440"
101,"Qumariq","0101000020E6100000F7A3F2C0115051401B3DC8FCED9F4440"
102,"Fayzobod mahallasi","0101000020E61000002D663A2AED535140A2670EA4E6A04440"
103,"Sirg'ali 8A dahasi","0101000020E6100000590BFD5DE94D5140BF99982EC49C4440"
104,"Sirg'ali 5 dahasi","0101000020E61000002CDE7EAF574D514087FC3383F89C4440"
105,"Sirg'ali 7 dahasi","0101000020E61000000679E2DEA14D5140A24CFE82389C4440"
106,"Sirg'ali 8 dahasi","0101000020E6100000753E3C4B104E51400749FA0F449C4440"
107,"O'zgarish","0101000020E6100000FA241C1F524E5140051555BFD29F4440"
108,"Buz-1 dahasi","0101000020E610000081F8AF6227555140E371ACE694AA4440"
109,"Buz 2 dahasi","0101000020E6100000A6F0A0D975565140C964277277AC4440"
110,"Tuzel 1 dahasi","0101000020E6100000A0336953F55651409BDC39DE2EA64440"
111,"Tuzel 2 dahasi","0101000020E61000000389377C1C575140FD8117224CA54440"
