"id","name","geom"
1,"Koson","0101000020E6100000FA14B6557F655040267F411C35854340"
2,"Bulungʻur","0101000020E610000025A13E13ABD15040227E0FA848E14340"
3,"Nurobod","0101000020E6100000F40A557BA292504060C6B9F2FECD4340"
4,"Oqtosh","0101000020E6100000370E06E8887B5040441A70F14BF64340"
5,"Payariq","0101000020E61000005B481BA265B65040C8940F41D5FE4340"
6,"Chelak","0101000020E6100000C2F693313EB75040230CA8DCE9F54340"
7,"G`oliblar","0101000020E61000005A2DB0C744F85040C62B5ACA433F4440"
8,"G'allaorol","0101000020E6100000877D4CB5E0E55040C3802557B1034440"
9,"Zarbdor","0101000020E61000000359F4F3CB0A514068DAB4087B0B4440"
10,"Zafarobod","0101000020E61000006F0C01C0B1F45040E55E605628324440"
11,"Zomin","0101000020E6100000A1A6F166681951400DAF7F3221FB4340"
12,"Paxtakor","0101000020E6100000744CCC6985FD5040AC00DF6DDE274440"
13,"Baxt","0101000020E61000007CE6F6DC532C51404FDE115F375C4440"
14,"Sirdaryo","0101000020E610000059A2B3CCA22A51400727A25F5B6A4440"
15,"Shirin","0101000020E6100000078DAA701548514044A8AD6C7A1D4440"
16,NULL,"0101000020E61000007D16951E17855140C63F225CB7824440"
17,NULL,"0101000020E6100000A17F27D2A24351404913EF004F8F4440"
18,"Ohangaron","0101000020E61000006488ADEAF6685140C2A6CEA3E2734440"
19,"Chinoz","0101000020E6100000C3C0CEA8D4305140D074C0BF52784440"
20,"Parkent","0101000020E6100000E801E264D16A5140D6B9B3C068A54440"
21,"Keles","0101000020E61000007AFCDEA63F4D51400C642C89A2B34440"
22,"Rishton","0101000020E610000073F7393EDAD151408BC0FD254E2E4440"
23,"Hamza","0101000020E6100000B91567B1B9E05140F6E0FFD835364440"
24,"Beshariq","0101000020E61000000A52842FA7A65140638E2FEB0F384440"
25,"Yaypan","0101000020E61000008A88AC7F21B45140906802452C304440"
26,"Quva","0101000020E610000022B6AADB8F045240E35531F037434440"
27,"Beruniy","0101000020E6100000B2FD1AFFF45F4E40910255EDE4D84440"
28,"Moynaq","0101000020E6100000FBD467BDCE834D4010B79E7CD5E14540"
29,"Mańǵıt","0101000020E610000037983C5409084E40CD960744E30E4540"
30,"Tórtkúl","0101000020E61000003DD175E107804E40AB7C2A02F7C64440"
31,"Xalqobod","0101000020E6100000F4EED98445BB50406396E24FF9BA4240"
32,"Shımbay","0101000020E61000009F115B30A7E34D4063B6645584774540"
33,"Shomanay","0101000020E6100000B7EBA52902774D40F74A6AB290514540"
34,"Qońırat","0101000020E6100000A90BC2267C6C4D405BCC7454DA854540"
35,"Konimex","0101000020E61000006B9A779C22495040741E5F8C92234440"
36,"Xiva","0101000020E6100000F2102109562E4E404AC67B1F58B04440"
37,"Taxtakópir","0101000020E61000004F50D4E308254E40286B2FFDA6824540"
38,"Jaslıq","0101000020E610000044CEB1721EBF4C40CF75D0DB8EFC4540"
39,"Baliqchi","0101000020E6100000FC6AB356D9F551408FADC2C139734440"
40,"Buloqboshi","0101000020E61000008E9257E71820524020031EBD86504440"
41,"Izboskan","0101000020E610000015AD37C53E165240424871E9F3844440"
42,"Marhamat","0101000020E61000005D09EE5149155240F426D0717F404440"
43,"Chust","0101000020E6100000DCE4A6BC8CCE5140CDB11765917F4440"
44,"Chortoq","0101000020E61000004DE779266AF4514065A6594524894440"
45,"Haqqulobod","0101000020E6100000BFF1B5679607524077499C1551754440"
46,"Pop","0101000020E6100000C7E9358735C651402E104E55EB6F4440"
47,"Toshbuloq","0101000020E6100000B06884C8B3E5514018F1F85168764440"
48,"Kosonsoy","0101000020E610000001C68E21DBE25140538A671A5EA04440"
49,"Buvayda","0101000020E6100000433DD8BD70C55140E87F5E5DBA514440"
50,"Navbahor","0101000020E6100000D7C45D18C4B15140C548E5DCDC3D4440"
51,"So'x","0101000020E6100000A69BC420B0C85140ED0104BD81F94340"
52,"Yozyovon","0101000020E6100000C1464893C1EE514061B13CFEC1544440"
53,"Oʻsmat","0101000020E6100000B3DB1D087FE950408CF50D4C6EDF4340"
54,"Gagarin","0101000020E610000046C549ABEB0A5140FE96A542E1544440"
55,"Yangiobod","0101000020E6100000A1D634EF38325140ED4ACB48BDF44340"
56,"Yangibozor","0101000020E6100000C79DD2C1FA434E40F4DB7CC800DB4440"
57,"Olot","0101000020E6100000EF3DB72B4FE74F40F861CE7D83B54340"
58,"Tomdibuloq","0101000020E610000007CEBE97E7275040220615B078E04440"
59,"Yangirabot","0101000020E61000002F59CB530C7E5040C362D4B5F6034440"
60,"Pomuq","0101000020E6100000A1EDE24746455040A353FC8458834340"
61,"Chiroqchi","0101000020E61000001F9DBAF2D9A4504000AE64C746844340"
62,"Qorashina","0101000020E61000007026A60BB1A45040E1AC2DE1752B4340"
63,"Mug'lon","0101000020E61000004E6B894BC4595040968AD70638764340"
64,"Kitob","0101000020E610000023997A82E9B75040119F854E198F4340"
65,"Yangi Nishon","0101000020E61000008B19E1ED416C5040BEBC00FBE8524340"
66,"Qamashi","0101000020E6100000A1FFD42EDC9D5040B94A1C1E67684340"
67,"Beshkent","0101000020E61000004FF74BD5076A5040EB6B02B111694340"
68,"Yangi Mirishkor","0101000020E6100000BA19C9795A5150403A0E72CDD36C4340"
69,"Yakkabog'","0101000020E6100000CCB73EACB7AB5040A581C41B3E7D4340"
70,"Qazanketken","0101000020E6100000D1AC11667FAD4D40E1A58A98C8804540"
71,"Kegeyli","0101000020E6100000CADC216A47CE4D4069290FC127634540"
72,"Payshanba","0101000020E61000000DC7F319D08E504087E123624A014440"
73,"Loyish","0101000020E6100000658A39083AB05040BC69447A9BF04340"
74,"Juma","0101000020E6100000BE4EEACB52AA50407ABE0B00FADA4340"
75,"Ziyovuddin","0101000020E61000009E9ED21CB46A5040C643296BE5034440"
76,"Toyloq","0101000020E610000059D47146DEC550406249B9FB1CCD4340"
77,"Dehqonobod","0101000020E61000005A345310F241514003EED4B727444440"
78,"Sardoba","0101000020E610000043812D654F1A514005D781188D454440"
79,"Farxod","0101000020E610000090AE88505B3951404AD235936F1F4440"
80,"Angor","0101000020E6100000AFBBD463B6C95040AC13E17030BB4240"
81,"Bandixon","0101000020E61000007EA257A8DAD85040FFFDCE9B2FEE4240"
82,"Boysun","0101000020E6100000ECB314DA03CD5040EA3AF9991F1A4340"
83,"Sariq","0101000020E61000001EC940F916CF50409B47B4D3C5D54240"
84,"Qumqo‘rg‘on","0101000020E61000006DA00AC913E6504016736B2D27EA4240"
85,"Sariosiyo","0101000020E61000001C6D0B853EFD5040DB3CC4F5DE344340"
86,"Sherobod","0101000020E6100000B03FE48810C15040B9612530E7D54240"
87,"Sharg'un","0101000020E610000010131E7EC8FD5040F65FE7A6CD3B4340"
88,"Oqqo'rg'on","0101000020E610000003626DE7D6425140C5B35FD273704440"
89,"Qibray","0101000020E6100000C5364EAFB95D5140E415889E94B14440"
90,"Yangibozor","0101000020E61000008CB96B0979615140A01E36EC52A84440"
91,"Bog'ot","0101000020E6100000664E97C5C4684E40E21E4B1FBAAD4440"
92,"Gurlan","0101000020E6100000D15B3CBCE7314E40439A67DB1FEC4440"
93,"Hazorasp","0101000020E6100000CEE0EF17B3884E40E550757E40A94440"
94,"Xonqa","0101000020E61000003EF669CB6F634E4092DFEC20C0BC4440"
95,"Pitnak","0101000020E61000004221A7542EA84E40117750E4A49B4440"
96,"Shovot","0101000020E6100000102219726C254E40EBDE2F0B92D44440"
97,"Yangiariq","0101000020E6100000638B93B1904D4E40B4C1D375F2AE4440"
98,"Yangibozor","0101000020E610000074902111E41850400B88FF2A76044440"
99,"Qoshkopir","0101000020E610000077DDB64A0B2D4E403C31EBC550C44440"
100,"Xalqabad","0101000020E61000009C926236B7DD4D40B7578BF447584540"
101,"Sho'rchi","0101000020E61000001BC8693E9DF2504060D916AFC3FF4240"
102,"Bo'ka","0101000020E610000081DC346CCA4C5140B613252191684440"
103,"Nursux","0101000020E610000068ACA2E47AB0514000DF1225C62E4440"
104,"Ibrat","0101000020E6100000FEE8E5C127C951406302C81A3F474440"
105,"Bagʻdod","0101000020E6100000CC8E9E6C94CD514058C9C7EE023B4440"
106,"Uchkoʻprik","0101000020E61000006120634994C3514074BE8EEED6454440"
107,"Poytug‘","0101000020E6100000924A6716D70F5240FD43447B06734440"
108,"Xonobod","0101000020E6100000282C4C3A253F5240FC54151A88664440"
109,"Chinobod","0101000020E610000085D78926ABFE5140129C9F877F704440"
110,"Toʻraqoʻrgʻon","0101000020E610000045E5153E91E05140C8D9CFBDE27F4440"
111,"Oltinko'l","0101000020E61000005F89F667750A524059654BFB8B664440"
112,"Jalaquduq","0101000020E610000078E3EEBD092952402F4498ECE95B4440"
113,"Xoʻjaobod","0101000020E6100000475513445D245240C899266C3F554440"
114,"Yangiqoʻrgʻon","0101000020E610000001A4367172EE51400C7E761B2F984440"
115,"Nanay","0101000020E610000080A955AAFAEC5140345074B8B1C14440"
116,"Olmos","0101000020E61000002762B6091CC6514082A7357282804440"
117,"Varzik","0101000020E61000001553E9279CCF5140DAB8B4D0848F4440"
118,"Axcha","0101000020E610000020706E5DFBC25140C8AFC4A8107F4440"
119,"Qorasuv","0101000020E6100000DC0D47FCAF385240D7DF12807F5D4440"
120,"Qo'g'ay","0101000020E610000017BE19909806524077A9C76C7F824440"
121,"Haqqulobod","0101000020E61000008F3C6B1297085240EF117BB2AC754440"
122,"Oltiariq","0101000020E61000007B489D256DDE51408ABCF61620324440"
123,"Miroqi","0101000020E6100000838AAA5FE9C75040F2E780C932844340"
124,"Ulug'bek","0101000020E6100000EF39B01C215D514010D6B5ACB1B34440"
125,"Gazli","0101000020E6100000C1AD16331DBA4F40BEC3488A23114440"
126,"Jarqo‘rg‘on","0101000020E6100000AB459FEAEBDA50408A35012B2CC14240"
127,"Vodnik","0101000020E61000006ACCDA5CEBC44D4080290307B4374540"
128,"Ozod-Vatan","0101000020E6100000186E0A7522C45040F6662F3608C14240"
129,"Jo'sh","0101000020E6100000C2C8810DBE9550406796A9EE36344440"
130,"Do'stobod","0101000020E6100000903CC6CB893B5140F72B5382B46D4440"
131,"Boyovut","0101000020E61000006703FA8EAB415140CE88D2DEE0234440"
132,"Zafar","0101000020E6100000C059EFDC20505140E083D72E6D304440"
133,"Eski-Olimkent","0101000020E6100000C119FCFD624951401CD0D2156C794440"
134,"Olimkent","0101000020E61000001A4BFD61704A5140287D21E4BC7A4440"
135,"O'rtasaroy","0101000020E6100000BEB62341DD5A514050E50F6157904440"
136,"Gʻazalkent","0101000020E6100000828C25515471514034E2B8420EC84440"
137,"Qiziltog'","0101000020E61000008F6104430C6B514031F54E6095934440"
138,"Yangiobod","0101000020E610000026D1819BFB855140A2557776438F4440"
139,"Xovos","0101000020E61000009B108475AD355140C0FC5FBF711B4440"
140,"Shohimardon","0101000020E6100000594C1185BBF35140CAF0E9FBBAFE4340"
141,"Paxtaobod","0101000020E610000081EB8A19E11F52404E4B0746B9764440"
142,"Uzun","0101000020E6100000F2D7BF466D005140CBFF9A62C42E4340"
143,"Nuriston","0101000020E6100000351367A00D69504027874F3A913E4340"
144,"Dahbed","0101000020E610000092C3712A63BA5040A256E24BF2E14340"
145,"Do'stlik","0101000020E6100000AB741CE41A02514064AC36FFAF434440"
146,"Bustan","0101000020E61000003F181D35CB744E403100F9B770EB4440"
147,"Taqıyatas","0101000020E6100000BE39121E23CA4D400437F7FCD52A4540"
148,"Oltinkon","0101000020E6100000946934B918AF514089B663EAAE804440"
149,"Ayvalik","0101000020E610000005D8ECEDBB615140FE4D83FD32794440"
150,"Bog'don","0101000020E610000069F8BB1C9BCB5040DBF5775B8E354440"
151,"Mo'lkanlik","0101000020E6100000B246E28AB0F4504056F0DB10E3154440"
152,"Gandumtosh","0101000020E61000006C4DA90139F2504020EBA9D557114440"
153,"Xonbandi","0101000020E6100000B56E83DAEFD050404D0B033BA33F4440"
154,"Nurbuloq","0101000020E6100000F805AA35039A5040847A9F4F89DF4340"
155,"Nayman","0101000020E61000009368137104B750409F002FD8B2D74340"
156,"Qanlıkól","0101000020E61000008807DEDAD3804D40F1958AD7066B4540"
157,"Qilichboy","0101000020E610000014C550F3FA044E402AA2CB400AFD4440"
158,"Qoraul","0101000020E6100000C074FFFDCE4A4E40E770ADF6B0C74440"
159,"Yangiqishloq","0101000020E6100000DBFD2AC077B35040D4F36E2C28824340"
160,"O`rtaqo`rg`on","0101000020E6100000400D840948AF5040A57BE761B2854340"
161,"Qatag'on","0101000020E61000003B5C61B051AF5040C6EBB078A0774340"
162,"Alakoʻylak","0101000020E610000024A8D02F00B350402EC72B103D7D4340"
163,"Eski Yakkabogʻ","0101000020E610000023F3C81F8CB550407BA180ED60764340"
164,"Gala Osiyo","0101000020E61000006AD14C41481C5040C90567F0F7ED4340"
165,"Qarliq","0101000020E61000000A078C3F1B575040B10CBB39A68C4340"
166,"Talimarjon","0101000020E61000008A7B87365B6350409E8FD72890264340"
167,"Elbayon","0101000020E610000055F08057F0ED504039C42E4091F84240"
168,"Dehqonobod","0101000020E61000007862D68BA19F50409D499BAA7B2C4340"
169,"Do'stlik","0101000020E6100000ADCDB51EF45B514036453646A1A04440"
170,"Aqmanǵıt","0101000020E61000003AB58E05E0C44D40792E4267884C4540"
171,"Qaraózek","0101000020E610000088E64BB90C024E4013D4F02DAC834540"
172,"Oqoltin","0101000020E61000005F741EBA452E51401D6041F56A4D4440"
173,"Tuyabo'g'iz","0101000020E6100000BCB5A73F5653514092F1834E637F4440"
174,"Sherali","0101000020E61000007B270B04A67C50401AE0826C595C4340"
175,"Yangikent","0101000020E61000009A95ED43DE835040EDEF6C8FDE594340"
176,"Hisorak","0101000020E610000000CC1022F47051408AD7AB7E5BA74440"
177,"Lalmikor","0101000020E6100000E213FC8051DD5040B0879BF80FF84340"
178,"Denov","0101000020E6100000AAEE91CD555E5040D7A4DB12B96C4340"
