"id","name","geom"
1,"Mingbuloq","0101000020E6100000BEE4DAABEA6E4F40A90E5E60FB204540"
2,"Qulquduq","0101000020E61000008AF5FC1F16A64F40C94164ECDF444540"
3,"Temurqovuq","0101000020E6100000A6BADB508C9A5040CCFD1F71D95C4440"
4,"Qorliq","0101000020E6100000C0B33D7AC3EB5040BB5862AFC1184340"
5,"Bachkir","0101000020E61000007FDC7EF964CA5140E7806E79F64C4440"
6,"Zoxidon","0101000020E610000076E84F760ED251406EF8DD74CB324440"
7,"Sang","0101000020E6100000E61027E60FCC51406B7242322E6E4440"
8,"Tumor","0101000020E610000097CF4DF6AABA51403194B833B8584440"
9,"Qo'shtepasaroy","0101000020E6100000C72297499E015240DF156646E4694440"
10,"Avval","0101000020E6100000859F933971F551401A6F8676A9274440"
11,"Xonqiz","0101000020E6100000FFB68201DFE05140AAACB717E2254440"
12,"Toptiqsaroy","0101000020E61000009BC18476F3B15140F8A57EDE54554440"
13,"Katta Turk","0101000020E61000003DD8BD70C2B451407C7E18213C554440"
14,"Nayman","0101000020E6100000483C3487FF205240F2C3526EEC4C4440"
15,"Gulshan","0101000020E6100000D57B8560B0F1514028B3E66CA6904440"
16,"Guldirov","0101000020E61000006743A3E0CEEF5140133E004E94944440"
17,"Oltinkul kfy","0101000020E6100000F096F5ACB5DF51409B6D1393DC6A4440"
18,"Tepaqo'rg'on","0101000020E6100000CDFEE5FFFAE35140D36E4FEB91734440"
19,NULL,"0101000020E6100000BCAD99217ADC514046D1031F83724440"
20,"Saroy","0101000020E6100000CBC7A4758AE05140B3017DC795724440"
21,"Buramatut","0101000020E6100000E7847588A4DB51400523E5DD47754440"
22,"Dekhkantoda","0101000020E6100000006A0F20E8A75140E947C329733F4440"
23,"Quyuqmozor","0101000020E610000015973ECFFADE514098B4F347628B4440"
24,"Kukumboy","0101000020E610000043C0C69AB6E35140F5A0A014AD8E4440"
25,"Pastki Choʻja","0101000020E61000001BF33AE210F55140607DF266C3764440"
26,"Karkidon","0101000020E61000007A72A83A3FCD514030BD5873DB894440"
27,"G'ova","0101000020E6100000520FD1E80EC8514097303FDC7A904440"
28,"Qum Qiyali","0101000020E6100000E481C8224DB951402400492245574440"
29,"Katta Ganjiravon","0101000020E61000008B6AB697D9BC5140CAEB7717DE494440"
30,"Kapayangi","0101000020E6100000D0C42A94BB9D5140CB2DAD86C4344440"
31,"Tovul","0101000020E61000003A75E5B33CA25140A1551CBDD0384440"
32,"Yortepa","0101000020E6100000603FC4060BDF5140CF26D1DC54864440"
33,"Guliston","0101000020E6100000C1148A19861D524063BC410F10614440"
34,"Soy bo'yi","0101000020E61000008E8B0F585EFF5140D63BDC0E0D444440"
35,"Arabmazor","0101000020E61000005FB8CE1A97F051409BE7887C97464440"
36,"Qoratepa","0101000020E6100000C57BC49E2CF55140028D8818654E4440"
37,"G'ayrat","0101000020E610000030FBD060AEF9514070C50FDFD3874440"
38,"Nurafshon","0101000020E6100000E69B23E131EB5140C113C48A648D4440"
39,"Qorapolvon","0101000020E610000000B3316516EC51405330197DBB904440"
40,NULL,"0101000020E6100000894567F4FEFC5140357392F7BB6B4440"
41,NULL,"0101000020E61000006CA862740AF951404E1718682D6B4440"
42,"Porasht","0101000020E6100000D3B8DC05EFB950406E0A75A26E474440"
43,"Chadak","0101000020E610000021A2E2499CB15140EDCC4E50D4774440"
44,"Anor","0101000020E61000002F72AA10EA075240A95AC125B63C4440"
45,"Soykeldi","0101000020E610000017FD570C8D05524047C03280013F4440"
46,"Mindon","0101000020E61000009175824765E351400E1FC7C5071D4440"
47,"Humsan","0101000020E61000001E5036E50A7D51405D0FCB0B55D64440"
48,"Bog'iston","0101000020E6100000B813364D69855140ADBC89C67FD84440"
49,"Ko'prik Boshi","0101000020E6100000D17F6A17AE6151406C98FCAAB7B54440"
50,"Chig'atoy-Oqtepa","0101000020E6100000D5F83BCAF74A5140984F560C57AE4440"
51,"Chig'atoy","0101000020E6100000325AA20E064A5140899C195822AD4440"
52,"Cholish","0101000020E610000001744EA214584E401FB70485E6CF4440"
53,"Meshekli","0101000020E6100000B27F9E060CE24E403D320C0EE59C4440"
54,"Olmazor","0101000020E610000064703903C83651407F3E80FBF07B4440"
55,"Уйшин","0101000020E61000004DE83FB50B514E4062F0D53329CD4440"
56,"Bolta","0101000020E6100000D4A6A091BE5C51402E4A1AED02A44440"
57,"Qo'shqo'rg'on","0101000020E610000034F0486183685140E73B534376BD4440"
58,"Kabutarxona","0101000020E6100000525CFA3CEBCB5040CAFED4D3A2AB4240"
59,"Shampan","0101000020E61000008DE9AE91496E51402127A7D13F9B4440"
60,"Янгиабад","0101000020E610000017F8E52730C75040BF53B76922BD4240"
61,"Nomdanak","0101000020E61000009C397F6EC36B51404D4EED0C53974440"
62,"Sanginek","0101000020E61000005E23939DC8725140B03907CF849B4440"
63,"Novdak","0101000020E6100000CF650F59497151405645B8C9A8984440"
64,"Baynalmilal","0101000020E61000007E69F6E5F1BE5040D40B3ECDC9B54240"
65,"Noushaxar","0101000020E61000008DB800344AC6504099391389F8B04240"
66,"Munchoq","0101000020E6100000E6E786A6ECC0504035EB8CEF8B054340"
67,"Navbog'","0101000020E610000044C5933806BF5040FE2F325C78D34240"
68,"Kunchiqish","0101000020E6100000CFAF9C7326D350405499188167D74240"
69,"Gambyr","0101000020E610000093DD712F55C25040D7EFD302C5D34240"
70,"Sayrob","0101000020E6100000D6C743DFDDBD50405725917D90094340"
71,"Kofrun","0101000020E6100000B44AFAC536D0504071BF8DDEBA0B4340"
72,"Kuluksa","0101000020E610000076B7FCD101C0504095D8107750D14240"
73,"Сино","0101000020E6100000EF9FB82D5BEC50407B3B78DCA62E4340"
74,"Vaxshivor","0101000020E610000058B329B231E85040390D51853F2A4340"
75,"Rabot","0101000020E61000009CBA97A02BCC50403EC857A76F104340"
76,"Avlod","0101000020E61000009CB9D1110ACC5040C4AA8B25F61F4340"
77,"Kárimboy","0101000020E6100000D4282499D5484E40F0F384CA64EE4440"
78,"Ko'kpatas","0101000020E6100000FDD0162186F24F40B077DA75CA1C4540"
79,"Yangiturmush","0101000020E61000003C52D8A00A8E5040EEAC82BD2E3E4440"
80,"Biybazar","0101000020E6100000EDC49BEBEA454E40DF5740FC57EC4440"
81,"Yollama","0101000020E6100000382ADC97582F5140FF36D5A4257A4440"
82,"Dalvarzin","0101000020E6100000FDB90D0F065251402601C5234C334440"
83,"Oybek","0101000020E6100000308A79B18B4D5140C9B4914660444440"
84,"Ko'kcha","0101000020E61000004FBEEA129F3F5040446B459BE3444440"
85,"O'rtaovul","0101000020E61000008395F9FD51495140A5619DCF25984440"
86,"Nau","0101000020E610000056061F94C14551404C93AD8960924440"
87,"Niyozbosh","0101000020E610000039D4EFC2D6455140DCE8ADCB3A8D4440"
88,"Samsarak","0101000020E61000009BB40474BA6A5140EBA05C644C9F4440"
89,"Ko'ksaroy","0101000020E61000003C97F3D60A495140DB673AE05FAD4440"
90,"Shamsiobod","0101000020E6100000C261B36DE2475140F3BA343454AE4440"
91,"Surum","0101000020E6100000CF8F75270E5D5140F6A397079FA64440"
92,"Bolodala","0101000020E6100000CCBEE1F4648351408206F6F301D54440"
93,"Qangli","0101000020E6100000FB703557F26351407808E3A771934440"
94,"Kursay","0101000020E61000006256DE44E36551409CCC2ECECE8E4440"
95,"Sijjak","0101000020E6100000BB1B55979D835140D56993799AD84440"
96,"Tavaksoy","0101000020E6100000A7A7D94D3A6B514038BEF6CC92C64440"
97,"Sosboga","0101000020E6100000E4422FEDE55C5140C01369D1F1924440"
98,"Ho'ja","0101000020E6100000C1B975EDC159514037B4B74A66914440"
99,"Arab","0101000020E6100000209331E392C35140E1C09AB976564440"
100,"Chinobod","0101000020E6100000DFDFA0BD7A5B514038E801E264B54440"
101,"Quyoshli","0101000020E610000014B4C9E193485140239B502DC7994440"
102,"Eshimoqsoq","0101000020E61000000FE0E30206B95040276BD44334EC4340"
103,"Toshkeskan","0101000020E61000006F055E7784165140D573774254104440"
104,"Baymoq","0101000020E61000001952EA3738D55140D82EC8F19E884440"
105,"Pungon","0101000020E6100000C0F91E3FE5B45140B3D1393FC55E4440"
106,"Xonabod","0101000020E61000008B074AC01EB2514099751085E0724440"
107,"Yom","0101000020E61000002FE46C953B21514097B32DB940044440"
108,"Uzunquduq","0101000020E61000007C6B161E6AC95040B69613FE564A4440"
109,"Yangidala","0101000020E61000003689E6A6720151409B3A8F8AFF614440"
110,"Ingichka","0101000020E61000004B1FBAA0BEB750401EC8D52368644440"
111,"To'liboy","0101000020E6100000B623E6A3D6C250401C66C3F5834C4440"
112,"Ustaxon","0101000020E6100000267909A9B6D95040FCF0E2B32B274440"
113,"Osmonsoy","0101000020E610000099DC836BC9D15040CDA0EB0C9D2F4440"
114,"Yaxtanlik","0101000020E6100000A67B9DD497F350407DD2E4BDC5154440"
115,"Timiryazev","0101000020E610000005D6BB896BF050405B6D0F8CCD244440"
116,"Deriston","0101000020E61000008E25074724C65040B08B474ECB354440"
117,"Pastki Uchquloch","0101000020E6100000DA8937D755D75040229518BAC8434440"
118,"Uchquloch","0101000020E6100000DE85F766E5D5504084E3E8E04F414440"
119,"Gul","0101000020E6100000BE9DE9CA8C325140636996BA1A6D4440"
120,"Sirdaryo","0101000020E61000006C393C293835514084413E8D20644440"
121,"Beshbuloq","0101000020E61000003FB8F1DD9C4051408B04AE861F4C4440"
122,"Yuqori Yalpoqtepa","0101000020E6100000A422A9E04B715140AF9C18ED4C744440"
123,"Qo'shquduq","0101000020E61000001BC4BDE8E1765040DDCAB7E3F27D4440"
124,"Boymurot","0101000020E61000009067976FFD9A50408F3A9567B9914440"
125,"Birlashgan","0101000020E61000001F8A5D3695BC5040DAC534D3BD434440"
126,"Mingchinor","0101000020E610000015AB0661EE40514065389ECF80744440"
127,"Paxta","0101000020E6100000534D5A023A3C51405C7C653964824440"
128,"Yangiariq","0101000020E6100000CE8AA8893ED750400FD07D39B3A34240"
129,"Qoraxon","0101000020E6100000CFA51364DFD85040724B5068FEA64240"
130,"O'rtaariq","0101000020E6100000615A8A9A9ED750403D073B6AF1A44240"
131,"Jayronxona","0101000020E61000000CF670137FDA504050BFB0A140AA4240"
132,"Sayat","0101000020E61000006A38C027B1D95040C2E3367579AA4240"
133,"Oxunboboyev","0101000020E6100000C1F00005CDD9504078AC63A6FE9F4240"
134,NULL,"0101000020E6100000F7B0170AD8D0504000016BD5AEA14240"
135,"Kattagarma","0101000020E61000007F619E3A7BD05040790DB045C19F4240"
136,"Boldir","0101000020E610000073F96AA2AAAF50402504ABEAE5B34240"
137,"Yusufxója","0101000020E6100000B92DDB98E8094E4018F3CEFCC5094540"
138,"Namaton","0101000020E61000009B96B3D2FFB65040DE8DAACBCE8A4340"
139,"Янгикурган","0101000020E6100000D7998C7450B05040F542A6214F804340"
